Title: GramProteinFatPerKcal,,,,,,,,
Source: DF_Macronutrient_FoodItem3 - module_aglu_L100.FAO_SUA_connection,,,,,,,,
#######,,,,,,,,
GCAM_commodity,GCAM_region_ID,Mt,fatperc,proteinperc,Kcalperg,MKcal,gProteinPerKcal,gFatPerKcal
Beef,2,2.143027327,12.7773063,11.8357901,1.633128189,3499.838337,7.247312356,7.823823254
Corn,2,10.92289975,2.716440931,8.590795719,3.526310849,38517.5399,2.436199214,0.770335075
Dairy,2,15.80533147,4.092589934,3.544355491,0.702321588,11100.4255,5.046627572,5.827230721
FiberCrop,2,0.029484148,84.66093124,3.076469484,7.620411664,224.6813453,0.403714342,11.10975823
Fruits,2,15.45861095,0.409057881,0.720680149,0.662180343,10236.3883,1.088344221,0.617743921
Legumes,2,5.308820172,1.957055616,22.74998057,3.412809174,18117.99019,6.666057025,0.573444197
MiscCrop,2,0.839467337,5.630160298,8.607019417,1.460566732,1226.098066,5.892931303,3.854777857
NutsSeeds,2,1.029213333,40.75978127,11.15187573,4.262202957,4386.716111,2.616458165,9.563078455
OilCrop,2,0.814684504,62.59645269,5.863798693,5.908031052,4813.181349,0.992513181,10.59514619
OilPalm,2,2.152311796,26.92858483,0,2.380490071,5123.556861,0,11.31220212
OtherGrain,2,13.43355061,2.195377795,9.403273813,3.343340717,44912.93673,2.812538299,0.656641958
OtherMeat_Fish,2,2.231709956,7.922973609,11.96698531,1.339227664,2988.767711,8.935736341,5.916076721
Pork,2,0.242984589,28.06977483,9.937959936,2.965688158,720.6165178,3.350979404,9.464843685
Poultry,2,0.687168416,9.212039577,11.17810434,1.316534271,904.6807697,8.490553259,6.997189349
Rice,2,5.412148703,0.818076936,5.514803371,2.65217804,14353.98194,2.079348855,0.308454758
RootTuber,2,25.04205344,0.183404599,1.112924217,0.931633686,23330.02055,1.194594221,0.196863426
SheepGoat,2,0.845977897,12.48980493,12.99743975,1.691543934,1431.008779,7.683773083,7.383671614
Soybean,2,0.128732115,54.41769369,19.9902949,5.817002043,748.8349772,3.436528774,9.35493804
SugarCrop,2,23.67218415,0.010730215,0.012618092,0.550451348,13030.38568,0.022923175,0.019493484
Vegetables,2,9.887764229,0.525143079,1.440319221,0.326668681,3230.022894,4.409113289,1.607570945
Wheat,2,7.766811426,1.538033713,10.7028302,3.591931497,27897.85459,2.979686615,0.428191271
Beef,3,1.90054384,9.769839934,12.38903061,1.397793039,2656.56695,8.863279655,6.989475308
Corn,3,7.24489901,4.542453471,9.246877725,3.694390851,26765.48862,2.502950581,1.229554114
Dairy,3,12.44482093,5.576986999,4.53331217,0.869497348,10820.73879,5.213715927,6.414035666
FiberCrop,3,9.45E-04,60.70983465,0,5.372316919,5.079424,0,11.30049391
Fruits,3,19.14532042,0.288141671,0.697793212,0.590520806,11305.71005,1.181657283,0.487944993
Legumes,3,1.086312621,2.777042306,25.01926853,3.488427023,3789.522302,7.172077375,0.796072925
MiscCrop,3,0.681868674,5.46542463,8.265144458,1.227665191,837.106436,6.732409228,4.451885312
NutsSeeds,3,0.545561797,33.66839828,10.07543025,3.621202146,1975.58955,2.78234405,9.297574929
OilCrop,3,1.995946372,37.25169173,1.300119372,3.384009851,6754.302186,0.384194913,11.00815109
OilPalm,3,0.195349182,27.08821173,0,2.394597917,467.782744,0,11.31221719
OtherGrain,3,2.073582549,1.497511676,8.638676841,3.12196576,6473.65372,2.767063288,0.479669474
