# Title: food_subsector
# Source: GCAM
########
supplysector,subsector,category,beautiful_name
FoodDemand_Staples,Corn,Crops,Corn
FoodDemand_Staples,OtherGrain,Crops,Other grain crops
FoodDemand_Staples,Rice,Crops,Rice
FoodDemand_Staples,RootTuber,Crops,Root Tubers
FoodDemand_Staples,Wheat,Crops,Wheat
FoodDemand_NonStaples,FiberCrop,Crops,Fiber crops
FoodDemand_NonStaples,MiscCrop,Crops,Specialty crops and species
FoodDemand_NonStaples,Fruits,Crops,Fruits
FoodDemand_NonStaples,Legumes,Crops,Legumes
FoodDemand_NonStaples,NutsSeeds,Crops,Nuts and Seeds
FoodDemand_NonStaples,OilCrop,Crops,Oil crops
FoodDemand_NonStaples,OilPalm,Crops,Palm oil crops
FoodDemand_NonStaples,Soybean,Crops,Soy bean
FoodDemand_NonStaples,SugarCrop,Crops,Sugar crops
FoodDemand_NonStaples,Vegetables,Crops,Vegetables
FoodDemand_NonStaples,Beef,Livestock products,Beef meat
FoodDemand_NonStaples,Dairy,Livestock products,Dairy
FoodDemand_NonStaples,Pork,Livestock products,Pork meat
FoodDemand_NonStaples,Poultry,Livestock products,Poultry meat
FoodDemand_NonStaples,SheepGoat,Livestock products,Sheep and Goat meat
FoodDemand_NonStaples,OtherMeat_Fish,Seafood,Fish
