"sce","region","year","Units","value"
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Eastern","2020","MtCO2e",413.369087347152
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Eastern","2025","MtCO2e",468.385369488189
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Eastern","2030","MtCO2e",532.79018959115
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Eastern","2035","MtCO2e",616.478214263552
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Eastern","2040","MtCO2e",722.956928669604
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Eastern","2045","MtCO2e",862.733509657373
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Eastern","2050","MtCO2e",1060.17774162492
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Northern","2020","MtCO2e",925.74447022737
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Northern","2025","MtCO2e",1040.65642488632
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Northern","2030","MtCO2e",1156.1117736937
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Northern","2035","MtCO2e",1308.70041733051
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Northern","2040","MtCO2e",1441.41287589736
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Northern","2045","MtCO2e",1586.63384522623
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Northern","2050","MtCO2e",1729.65741216012
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Southern","2020","MtCO2e",721.804083841784
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Southern","2025","MtCO2e",648.868629563183
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Southern","2030","MtCO2e",581.732737230909
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Southern","2035","MtCO2e",529.921724547264
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Southern","2040","MtCO2e",490.395787075445
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Southern","2045","MtCO2e",460.511528623221
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Southern","2050","MtCO2e",437.236581905306
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Western","2020","MtCO2e",1508.17731266759
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Western","2025","MtCO2e",1430.03654799526
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Western","2030","MtCO2e",1359.09181020393
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Western","2035","MtCO2e",1282.49907735998
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Western","2040","MtCO2e",1204.41593522015
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Western","2045","MtCO2e",1124.09282404676
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Africa_Western","2050","MtCO2e",1036.75243883043
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Argentina","2020","MtCO2e",459.309302814401
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Argentina","2025","MtCO2e",446.831548103764
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Argentina","2030","MtCO2e",428.120962331102
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Argentina","2035","MtCO2e",341.086260638131
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Argentina","2040","MtCO2e",252.925230420586
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Argentina","2045","MtCO2e",165.237890396267
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Argentina","2050","MtCO2e",80.4777311420068
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Australia_NZ","2020","MtCO2e",750.13964283965
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Australia_NZ","2025","MtCO2e",557.139601563348
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Australia_NZ","2030","MtCO2e",360.514587021672
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Australia_NZ","2035","MtCO2e",270.810890664304
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Australia_NZ","2040","MtCO2e",180.258190929136
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Australia_NZ","2045","MtCO2e",89.7146882931089
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Australia_NZ","2050","MtCO2e",-0.840142287694378
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Brazil","2020","MtCO2e",1528.19826880354
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Brazil","2025","MtCO2e",1448.4356073134
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Brazil","2030","MtCO2e",1345.65658518371
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Brazil","2035","MtCO2e",1045.44453562638
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Brazil","2040","MtCO2e",746.026775402708
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Brazil","2045","MtCO2e",445.050982568241
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Brazil","2050","MtCO2e",145.706258360812
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Canada","2020","MtCO2e",762.932867286101
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Canada","2025","MtCO2e",599.495161095314
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Canada","2030","MtCO2e",437.641909409021
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Canada","2035","MtCO2e",328.100663821986
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Canada","2040","MtCO2e",218.588494351479
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Canada","2045","MtCO2e",109.085217852568
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Canada","2050","MtCO2e",-0.411633789526739
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Central America and Caribbean","2020","MtCO2e",384.132740197429
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Central America and Caribbean","2025","MtCO2e",357.82650695655
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Central America and Caribbean","2030","MtCO2e",335.290855508396
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Central America and Caribbean","2035","MtCO2e",277.330362451939
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Central America and Caribbean","2040","MtCO2e",219.793473817062
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Central America and Caribbean","2045","MtCO2e",163.310064026394
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Central America and Caribbean","2050","MtCO2e",107.972224701691
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Central Asia","2020","MtCO2e",783.090600419332
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Central Asia","2025","MtCO2e",808.84434232407
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Central Asia","2030","MtCO2e",835.830874333691
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Central Asia","2035","MtCO2e",779.702681286607
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Central Asia","2040","MtCO2e",713.683668054133
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Central Asia","2045","MtCO2e",633.568101578717
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Central Asia","2050","MtCO2e",544.660474470746
"NDC_LTT,date=2023-27-10T10:41:05+02:00","China","2020","MtCO2e",14128.7862874427
"NDC_LTT,date=2023-27-10T10:41:05+02:00","China","2025","MtCO2e",14498.9562646224
"NDC_LTT,date=2023-27-10T10:41:05+02:00","China","2030","MtCO2e",14397.1565615889
"NDC_LTT,date=2023-27-10T10:41:05+02:00","China","2035","MtCO2e",11933.7077327008
"NDC_LTT,date=2023-27-10T10:41:05+02:00","China","2040","MtCO2e",9806.21081513459
"NDC_LTT,date=2023-27-10T10:41:05+02:00","China","2045","MtCO2e",7667.42665557853
"NDC_LTT,date=2023-27-10T10:41:05+02:00","China","2050","MtCO2e",5494.0735367268
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Colombia","2020","MtCO2e",246.167138395426
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Colombia","2025","MtCO2e",238.917297152648
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Colombia","2030","MtCO2e",200.814732220798
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Colombia","2035","MtCO2e",153.592593972641
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Colombia","2040","MtCO2e",109.19755364723
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Colombia","2045","MtCO2e",65.9551369664969
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Colombia","2050","MtCO2e",23.4209572526122
"NDC_LTT,date=2023-27-10T10:41:05+02:00","EU-12","2020","MtCO2e",813.709114880741
"NDC_LTT,date=2023-27-10T10:41:05+02:00","EU-12","2025","MtCO2e",658.079413456005
"NDC_LTT,date=2023-27-10T10:41:05+02:00","EU-12","2030","MtCO2e",388.932646096295
"NDC_LTT,date=2023-27-10T10:41:05+02:00","EU-12","2035","MtCO2e",384.386472551761
"NDC_LTT,date=2023-27-10T10:41:05+02:00","EU-12","2040","MtCO2e",343.576637867357
"NDC_LTT,date=2023-27-10T10:41:05+02:00","EU-12","2045","MtCO2e",273.792363119893
"NDC_LTT,date=2023-27-10T10:41:05+02:00","EU-12","2050","MtCO2e",129.996525410408
"NDC_LTT,date=2023-27-10T10:41:05+02:00","EU-15","2020","MtCO2e",2704.35662351068
"NDC_LTT,date=2023-27-10T10:41:05+02:00","EU-15","2025","MtCO2e",2407.99216468714
"NDC_LTT,date=2023-27-10T10:41:05+02:00","EU-15","2030","MtCO2e",1902.57174730719
"NDC_LTT,date=2023-27-10T10:41:05+02:00","EU-15","2035","MtCO2e",1719.25852063219
"NDC_LTT,date=2023-27-10T10:41:05+02:00","EU-15","2040","MtCO2e",1335.0211024456
"NDC_LTT,date=2023-27-10T10:41:05+02:00","EU-15","2045","MtCO2e",886.362840493625
"NDC_LTT,date=2023-27-10T10:41:05+02:00","EU-15","2050","MtCO2e",344.533440052391
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Europe_Eastern","2020","MtCO2e",540.52676544915
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Europe_Eastern","2025","MtCO2e",505.312565677125
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Europe_Eastern","2030","MtCO2e",475.577818248693
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Europe_Eastern","2035","MtCO2e",464.873445107461
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Europe_Eastern","2040","MtCO2e",440.381850087404
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Europe_Eastern","2045","MtCO2e",408.42314130292
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Europe_Eastern","2050","MtCO2e",373.737100126259
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Europe_Non_EU","2020","MtCO2e",695.04353241277
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Europe_Non_EU","2025","MtCO2e",736.030987455068
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Europe_Non_EU","2030","MtCO2e",779.72051325321
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Europe_Non_EU","2035","MtCO2e",663.125527024424
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Europe_Non_EU","2040","MtCO2e",488.345588451531
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Europe_Non_EU","2045","MtCO2e",328.573478280022
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Europe_Non_EU","2050","MtCO2e",222.532674909087
"NDC_LTT,date=2023-27-10T10:41:05+02:00","European Free Trade Association","2020","MtCO2e",118.205910368822
"NDC_LTT,date=2023-27-10T10:41:05+02:00","European Free Trade Association","2025","MtCO2e",204.38377535306
"NDC_LTT,date=2023-27-10T10:41:05+02:00","European Free Trade Association","2030","MtCO2e",131.590845155324
"NDC_LTT,date=2023-27-10T10:41:05+02:00","European Free Trade Association","2035","MtCO2e",109.292782107261
"NDC_LTT,date=2023-27-10T10:41:05+02:00","European Free Trade Association","2040","MtCO2e",83.4679460804747
"NDC_LTT,date=2023-27-10T10:41:05+02:00","European Free Trade Association","2045","MtCO2e",64.3640004699415
"NDC_LTT,date=2023-27-10T10:41:05+02:00","European Free Trade Association","2050","MtCO2e",43.6075283914645
"NDC_LTT,date=2023-27-10T10:41:05+02:00","India","2020","MtCO2e",4022.25793929781
"NDC_LTT,date=2023-27-10T10:41:05+02:00","India","2025","MtCO2e",5056.71827434586
"NDC_LTT,date=2023-27-10T10:41:05+02:00","India","2030","MtCO2e",5837.09665700896
"NDC_LTT,date=2023-27-10T10:41:05+02:00","India","2035","MtCO2e",5183.49179041055
"NDC_LTT,date=2023-27-10T10:41:05+02:00","India","2040","MtCO2e",4544.75592396247
"NDC_LTT,date=2023-27-10T10:41:05+02:00","India","2045","MtCO2e",3920.89567127263
"NDC_LTT,date=2023-27-10T10:41:05+02:00","India","2050","MtCO2e",3285.57616214652
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Indonesia","2020","MtCO2e",1370.46384980125
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Indonesia","2025","MtCO2e",1491.05198741272
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Indonesia","2030","MtCO2e",1693.49179652635
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Indonesia","2035","MtCO2e",1405.14264514654
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Indonesia","2040","MtCO2e",1116.1744072696
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Indonesia","2045","MtCO2e",827.102950930238
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Indonesia","2050","MtCO2e",541.627873178347
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Japan","2020","MtCO2e",1247.36373216125
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Japan","2025","MtCO2e",1116.70400044252
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Japan","2030","MtCO2e",910.997656516037
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Japan","2035","MtCO2e",796.97057001783
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Japan","2040","MtCO2e",592.560682815022
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Japan","2045","MtCO2e",359.714748485024
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Japan","2050","MtCO2e",156.884268417344
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Mexico","2020","MtCO2e",788.70097316133
