database,scenario
snr_all_10,snr_all_10_x0_2025_k_0.005
snr_all_10,snr_all_10_x0_2035_k_0.005
snr_all_10,snr_all_10_x0_2045_k_0.005
snr_all_10,snr_all_10_x0_2025_k_0.405
snr_all_10,snr_all_10_x0_2035_k_0.405
snr_all_10,snr_all_10_x0_2045_k_0.405
snr_all_10,snr_all_10_x0_2025_k_0.805
snr_all_10,snr_all_10_x0_2035_k_0.805
snr_all_10,snr_all_10_x0_2045_k_0.805
snr_all_10,snr_all_10_x0_2025_k_1.205
snr_all_10,snr_all_10_x0_2035_k_1.205
snr_all_10,snr_all_10_x0_2045_k_1.205
snr_all_20,snr_all_20_x0_2025_k_0.005
snr_all_20,snr_all_20_x0_2035_k_0.005
snr_all_20,snr_all_20_x0_2045_k_0.005
snr_all_20,snr_all_20_x0_2025_k_0.405
snr_all_20,snr_all_20_x0_2035_k_0.405
snr_all_20,snr_all_20_x0_2045_k_0.405
snr_all_20,snr_all_20_x0_2025_k_0.805
snr_all_20,snr_all_20_x0_2035_k_0.805
snr_all_20,snr_all_20_x0_2045_k_0.805
snr_all_20,snr_all_20_x0_2025_k_1.205
snr_all_20,snr_all_20_x0_2035_k_1.205
snr_all_20,snr_all_20_x0_2045_k_1.205
snr_all_30,snr_all_30_x0_2025_k_0.005
snr_all_30,snr_all_30_x0_2035_k_0.005
snr_all_30,snr_all_30_x0_2045_k_0.005
snr_all_30,snr_all_30_x0_2025_k_0.405
snr_all_30,snr_all_30_x0_2035_k_0.405
snr_all_30,snr_all_30_x0_2045_k_0.405
snr_all_30,snr_all_30_x0_2025_k_0.805
snr_all_30,snr_all_30_x0_2035_k_0.805
snr_all_30,snr_all_30_x0_2045_k_0.805
snr_all_30,snr_all_30_x0_2025_k_1.205
snr_all_30,snr_all_30_x0_2035_k_1.205
snr_all_30,snr_all_30_x0_2045_k_1.205
snr_all_40,snr_all_40_x0_2025_k_0.005
snr_all_40,snr_all_40_x0_2035_k_0.005
snr_all_40,snr_all_40_x0_2045_k_0.005
snr_all_40,snr_all_40_x0_2025_k_0.405
snr_all_40,snr_all_40_x0_2035_k_0.405
snr_all_40,snr_all_40_x0_2045_k_0.405
snr_all_40,snr_all_40_x0_2025_k_0.805
snr_all_40,snr_all_40_x0_2035_k_0.805
snr_all_40,snr_all_40_x0_2045_k_0.805
snr_all_40,snr_all_40_x0_2025_k_1.205
snr_all_40,snr_all_40_x0_2035_k_1.205
snr_all_40,snr_all_40_x0_2045_k_1.205
snr_all_50,snr_all_50_x0_2025_k_0.005
snr_all_50,snr_all_50_x0_2035_k_0.005
snr_all_50,snr_all_50_x0_2045_k_0.005
snr_all_50,snr_all_50_x0_2025_k_0.405
snr_all_50,snr_all_50_x0_2035_k_0.405
snr_all_50,snr_all_50_x0_2045_k_0.405
snr_all_50,snr_all_50_x0_2025_k_0.805
snr_all_50,snr_all_50_x0_2035_k_0.805
snr_all_50,snr_all_50_x0_2045_k_0.805
snr_all_50,snr_all_50_x0_2025_k_1.205
snr_all_50,snr_all_50_x0_2035_k_1.205
snr_all_50,snr_all_50_x0_2045_k_1.205
snr_all_60,snr_all_60_x0_2025_k_0.005
snr_all_60,snr_all_60_x0_2035_k_0.005
snr_all_60,snr_all_60_x0_2045_k_0.005
snr_all_60,snr_all_60_x0_2025_k_0.405
snr_all_60,snr_all_60_x0_2035_k_0.405
snr_all_60,snr_all_60_x0_2045_k_0.405
snr_all_60,snr_all_60_x0_2025_k_0.805
snr_all_60,snr_all_60_x0_2035_k_0.805
snr_all_60,snr_all_60_x0_2045_k_0.805
snr_all_60,snr_all_60_x0_2025_k_1.205
snr_all_60,snr_all_60_x0_2035_k_1.205
snr_all_60,snr_all_60_x0_2045_k_1.205
snr_all_70,snr_all_70_x0_2025_k_0.005
snr_all_70,snr_all_70_x0_2035_k_0.005
snr_all_70,snr_all_70_x0_2045_k_0.005
snr_all_70,snr_all_70_x0_2025_k_0.405
snr_all_70,snr_all_70_x0_2035_k_0.405
snr_all_70,snr_all_70_x0_2045_k_0.405
