database,scenario
sppnr_plus_40,sppnr_plus_40_x0_2025_k_0.005
sppnr_plus_40,sppnr_plus_40_x0_2035_k_0.005
sppnr_plus_40,sppnr_plus_40_x0_2045_k_0.005
sppnr_plus_40,sppnr_plus_40_x0_2025_k_0.405
sppnr_plus_40,sppnr_plus_40_x0_2035_k_0.405
sppnr_plus_40,sppnr_plus_40_x0_2045_k_0.405
sppnr_plus_40,sppnr_plus_40_x0_2025_k_0.805
sppnr_plus_40,sppnr_plus_40_x0_2035_k_0.805
sppnr_plus_40,sppnr_plus_40_x0_2045_k_0.805
sppnr_plus_40,sppnr_plus_40_x0_2025_k_1.205
sppnr_plus_40,sppnr_plus_40_x0_2035_k_1.205
sppnr_plus_40,sppnr_plus_40_x0_2045_k_1.205
sppnr_plus_70,sppnr_plus_70_x0_2025_k_0.005
sppnr_plus_70,sppnr_plus_70_x0_2035_k_0.005
sppnr_plus_70,sppnr_plus_70_x0_2045_k_0.005
sppnr_plus_70,sppnr_plus_70_x0_2025_k_0.405
sppnr_plus_70,sppnr_plus_70_x0_2035_k_0.405
sppnr_plus_70,sppnr_plus_70_x0_2045_k_0.405
sppnr_plus_70,sppnr_plus_70_x0_2025_k_0.805
sppnr_plus_70,sppnr_plus_70_x0_2035_k_0.805
sppnr_plus_70,sppnr_plus_70_x0_2045_k_0.805
sppnr_plus_70,sppnr_plus_70_x0_2025_k_1.205
sppnr_plus_70,sppnr_plus_70_x0_2035_k_1.205
sppnr_plus_70,sppnr_plus_70_x0_2045_k_1.205
sppnr_plus_80,sppnr_plus_80_x0_2025_k_0.005
sppnr_plus_80,sppnr_plus_80_x0_2035_k_0.005
sppnr_plus_80,sppnr_plus_80_x0_2045_k_0.005
sppnr_plus_80,sppnr_plus_80_x0_2025_k_0.405
sppnr_plus_80,sppnr_plus_80_x0_2035_k_0.405
sppnr_plus_80,sppnr_plus_80_x0_2045_k_0.405
sppnr_plus_80,sppnr_plus_80_x0_2025_k_0.805
sppnr_plus_80,sppnr_plus_80_x0_2035_k_0.805
sppnr_plus_80,sppnr_plus_80_x0_2045_k_0.805
sppnr_plus_80,sppnr_plus_80_x0_2025_k_1.205
sppnr_plus_80,sppnr_plus_80_x0_2035_k_1.205
sppnr_plus_80,sppnr_plus_80_x0_2045_k_1.205
sppnr_plus_90,sppnr_plus_90_x0_2025_k_0.005
sppnr_plus_90,sppnr_plus_90_x0_2035_k_0.005
sppnr_plus_90,sppnr_plus_90_x0_2045_k_0.005
sppnr_plus_90,sppnr_plus_90_x0_2025_k_0.405
sppnr_plus_90,sppnr_plus_90_x0_2035_k_0.405
sppnr_plus_90,sppnr_plus_90_x0_2045_k_0.405
sppnr_plus_90,sppnr_plus_90_x0_2025_k_0.805
sppnr_plus_90,sppnr_plus_90_x0_2035_k_0.805
sppnr_plus_90,sppnr_plus_90_x0_2045_k_0.805
sppnr_plus_90,sppnr_plus_90_x0_2025_k_1.205
sppnr_plus_90,sppnr_plus_90_x0_2035_k_1.205
sppnr_plus_90,sppnr_plus_90_x0_2045_k_1.205
