# File: A_agStorageSector.csv
# Title: sector mapping for storage commodities
# Units: Various
# Comments: When storage_model == T the supply utilization will include storage data and stockholding behavior will be modeled. The logit exponent governs the responses. GCAM_commodity include AgLU commodities with regional markets
# Source: NA
# Author: XZ
# Column types: clcccn
# ----------
GCAM_commodity,storage_model,supplysector,minicam_energy_input,technology,logit.exponent
Corn,T,regional corn,total corn,ag-storage,2
FiberCrop,T,regional fibercrop,total fibercrop,ag-storage,2
Fruits,F,regional fruits,total fruits,ag-storage,2
Legumes,T,regional legumes,total legumes,ag-storage,2
MiscCrop,T,regional misccrop,total misccrop,ag-storage,2
NutsSeeds,T,regional nuts_seeds,total nuts_seeds,ag-storage,2
OilCrop,T,regional oilcrop,total oilcrop,ag-storage,2
OtherGrain,T,regional othergrain,total othergrain,ag-storage,2
OilPalm,T,regional oilpalm,total oilpalm,ag-storage,2
Rice,T,regional rice,total rice,ag-storage,2
RootTuber,T,regional root_tuber,total root_tuber,ag-storage,2
Soybean,T,regional soybean,total soybean,ag-storage,2
SugarCrop,T,regional sugarcrop,total sugarcrop,ag-storage,2
Vegetables,F,regional vegetables,total vegetables,ag-storage,2
Wheat,T,regional wheat,total wheat,ag-storage,2
Beef,F,regional beef,total beef,ag-storage,2
Dairy,F,regional dairy,total dairy,ag-storage,2
Pork,F,regional pork,total pork,ag-storage,2
Poultry,F,regional poultry,total poultry,ag-storage,2
SheepGoat,F,regional sheepgoat,total sheepgoat,ag-storage,2
