# File: A_an_technology.csv
# Title: Technologies and inputs of animal production
# Units: NA
# Column types: ccccccccc 
# ----------
supplysector,subsector0,subsector,technology,apply.to,from.year,to.year,interpolation.function,minicam.energy.input
Beef,Rumiant,Mixed,FodderHerb_Residue,share-weight,final-calibration-year,end-year,fixed,FodderHerb_Residue
Beef,Rumiant,Mixed,Pasture_FodderGrass,share-weight,final-calibration-year,end-year,fixed,Pasture_FodderGrass
Beef,Rumiant,Mixed,FeedCrops,share-weight,final-calibration-year,end-year,fixed,FeedCrops
Beef,Rumiant,Mixed,Scavenging_Other,share-weight,final-calibration-year,end-year,fixed,Scavenging_Other
Beef,Rumiant,Pastoral,FodderHerb_Residue,share-weight,final-calibration-year,end-year,fixed,FodderHerb_Residue
Beef,Rumiant,Pastoral,Pasture_FodderGrass,share-weight,final-calibration-year,end-year,fixed,Pasture_FodderGrass
Beef,Rumiant,Pastoral,FeedCrops,share-weight,final-calibration-year,end-year,fixed,FeedCrops
Beef,Rumiant,Pastoral,Scavenging_Other,share-weight,final-calibration-year,end-year,fixed,Scavenging_Other
Dairy,Rumiant,Mixed,FodderHerb_Residue,share-weight,final-calibration-year,end-year,fixed,FodderHerb_Residue
Dairy,Rumiant,Mixed,Pasture_FodderGrass,share-weight,final-calibration-year,end-year,fixed,Pasture_FodderGrass
Dairy,Rumiant,Mixed,FeedCrops,share-weight,final-calibration-year,end-year,fixed,FeedCrops
Dairy,Rumiant,Mixed,Scavenging_Other,share-weight,final-calibration-year,end-year,fixed,Scavenging_Other
Dairy,Rumiant,Pastoral,FodderHerb_Residue,share-weight,final-calibration-year,end-year,fixed,FodderHerb_Residue
Dairy,Rumiant,Pastoral,Pasture_FodderGrass,share-weight,final-calibration-year,end-year,fixed,Pasture_FodderGrass
Dairy,Rumiant,Pastoral,FeedCrops,share-weight,final-calibration-year,end-year,fixed,FeedCrops
Dairy,Rumiant,Pastoral,Scavenging_Other,share-weight,final-calibration-year,end-year,fixed,Scavenging_Other
Pork,Monogastric,Mixed,FodderHerb_Residue,share-weight,final-calibration-year,end-year,fixed,FodderHerb_Residue
Pork,Monogastric,Mixed,Pasture_FodderGrass,share-weight,final-calibration-year,end-year,fixed,Pasture_FodderGrass
Pork,Monogastric,Mixed,FeedCrops,share-weight,final-calibration-year,end-year,fixed,FeedCrops
Pork,Monogastric,Mixed,Scavenging_Other,share-weight,final-calibration-year,end-year,fixed,Scavenging_Other
Poultry,Monogastric,Mixed,FodderHerb_Residue,share-weight,final-calibration-year,end-year,fixed,FodderHerb_Residue
Poultry,Monogastric,Mixed,Pasture_FodderGrass,share-weight,final-calibration-year,end-year,fixed,Pasture_FodderGrass
Poultry,Monogastric,Mixed,FeedCrops,share-weight,final-calibration-year,end-year,fixed,FeedCrops
Poultry,Monogastric,Mixed,Scavenging_Other,share-weight,final-calibration-year,end-year,fixed,Scavenging_Other
SheepGoat,Rumiant,Mixed,FodderHerb_Residue,share-weight,final-calibration-year,end-year,fixed,FodderHerb_Residue
SheepGoat,Rumiant,Mixed,Pasture_FodderGrass,share-weight,final-calibration-year,end-year,fixed,Pasture_FodderGrass
SheepGoat,Rumiant,Mixed,FeedCrops,share-weight,final-calibration-year,end-year,fixed,FeedCrops
SheepGoat,Rumiant,Mixed,Scavenging_Other,share-weight,final-calibration-year,end-year,fixed,Scavenging_Other
SheepGoat,Rumiant,Pastoral,FodderHerb_Residue,share-weight,final-calibration-year,end-year,fixed,FodderHerb_Residue
SheepGoat,Rumiant,Pastoral,Pasture_FodderGrass,share-weight,final-calibration-year,end-year,fixed,Pasture_FodderGrass
SheepGoat,Rumiant,Pastoral,FeedCrops,share-weight,final-calibration-year,end-year,fixed,FeedCrops
SheepGoat,Rumiant,Pastoral,Scavenging_Other,share-weight,final-calibration-year,end-year,fixed,Scavenging_Other
