# File: A_demand_subsector.csv
# Title: Subsectors of agricultural production
# Unit: NA
# Description: Generic information for subsectors of agricultural production
# Source: GCAM assumptions
# Column types: ccccnciccccc 
# ----------
supplysector,subsector_nest1,subsector_nest2,subsector,logit.exponent,year.fillout,share.weight,apply.to,from.year,to.year,interpolation.function,logit.type
FoodDemand_Staples,Corn,Corn,Corn,-0.25,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_Staples,OtherGrain,OtherGrain,OtherGrain,-0.25,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_Staples,Rice,Rice,Rice,-0.25,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_Staples,RootTuber,RootTuber,RootTuber,-0.25,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_Staples,Wheat,Wheat,Wheat,-0.25,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,FiberCrop,FiberCrop,FiberCrop,-0.25,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,FruitsVeg,Fruits,Fruits,-0.25,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,Protein,Plant,Plant,-0.25,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,MiscCrop,MiscCrop,MiscCrop,-0.25,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,Oil,OilCrop,OilCrop,-0.25,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,Oil,OilPalm,OilPalm,-0.25,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,Oil,Soybean,Soybean,-0.25,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,SugarCrop,SugarCrop,SugarCrop,-0.25,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,FruitsVeg,Vegetables,Vegetables,-0.25,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,Protein,Animal,Rumiant,-0.25,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,Protein,Animal,Monogastric,-0.25,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,Protein,OtherMeat_Fish,OtherMeat_Fish,-0.25,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,Corn,Corn,Corn,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,FiberCrop,FiberCrop,FiberCrop,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,FodderGrass,FodderGrass,FodderGrass,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,FodderHerb,FodderHerb,FodderHerb,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,Fruits,Fruits,Fruits,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,Legumes,Legumes,Legumes,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,MiscCrop,MiscCrop,MiscCrop,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,NutsSeeds,NutsSeeds,NutsSeeds,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,OilCrop,OilCrop,OilCrop,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,OtherGrain,OtherGrain,OtherGrain,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,OilPalm,OilPalm,OilPalm,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,Rice,Rice,Rice,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,RootTuber,RootTuber,RootTuber,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,Soybean,Soybean,Soybean,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,SugarCrop,SugarCrop,SugarCrop,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,Vegetables,Vegetables,Vegetables,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,Wheat,Wheat,Wheat,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Meat,Beef,Beef,Beef,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Meat,Dairy,Dairy,Dairy,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Meat,Pork,Pork,Pork,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Meat,Poultry,Poultry,Poultry,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Meat,SheepGoat,SheepGoat,SheepGoat,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Meat,OtherMeat_Fish,OtherMeat_Fish,OtherMeat_Fish,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Forest,Forest,Forest,Forest,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
