# File: A_demand_technology.csv
# Title: Technologies and inputs of agricultural production
# Unit: NA
# Description: Generic information of technologies and inputs of agricultural production
# Source: GCAM assumptions
# Column types: ccccccccccn
# ----------
supplysector,subsector0,subsector1,subsector,technology,apply.to,from.year,to.year,interpolation.function,minicam.energy.input,coefficient
FoodDemand_Staples,Corn,Corn,Corn,Corn,share-weight,final-calibration-year,end-year,fixed,regional corn,3
FoodDemand_NonStaples,FiberCrop,FiberCrop,FiberCrop,FiberCrop,share-weight,final-calibration-year,end-year,fixed,regional fibercrop,3
FoodDemand_NonStaples,FruitsVeg,Fruits,Fruits,Fruits,share-weight,final-calibration-year,end-year,fixed,regional fruits,3
FoodDemand_NonStaples,Protein,Plant,Plant,Legumes,share-weight,final-calibration-year,end-year,fixed,regional legumes,3
FoodDemand_NonStaples,MiscCrop,MiscCrop,MiscCrop,MiscCrop,share-weight,final-calibration-year,end-year,fixed,regional misccrop,3
FoodDemand_NonStaples,Protein,Plant,Plant,NutsSeeds,share-weight,final-calibration-year,end-year,fixed,regional nuts_seeds,3
FoodDemand_NonStaples,Oil,OilCrop,OilCrop,OilCrop,share-weight,final-calibration-year,end-year,fixed,regional oilcrop,3
FoodDemand_NonStaples,Oil,Soybean,Soybean,Soybean,share-weight,final-calibration-year,end-year,fixed,regional soybean,3
FoodDemand_Staples,OtherGrain,OtherGrain,OtherGrain,OtherGrain,share-weight,final-calibration-year,end-year,fixed,regional othergrain,3
FoodDemand_NonStaples,Oil,OilPalm,OilPalm,OilPalm,share-weight,final-calibration-year,end-year,fixed,regional oilpalm,3
FoodDemand_Staples,Rice,Rice,Rice,Rice,share-weight,final-calibration-year,end-year,fixed,regional rice,3
FoodDemand_Staples,RootTuber,RootTuber,RootTuber,RootTuber,share-weight,final-calibration-year,end-year,fixed,regional root_tuber,3
FoodDemand_NonStaples,SugarCrop,SugarCrop,SugarCrop,SugarCrop,share-weight,final-calibration-year,end-year,fixed,regional sugarcrop,3
FoodDemand_NonStaples,FruitsVeg,Vegetables,Vegetables,Vegetables,share-weight,final-calibration-year,end-year,fixed,regional vegetables,3
