# File: A_fvv_parameters.csv
# Title: FVV diet models' parameters
# Unit: Unitless
# Description: parameters used in fvv's diet computation
# percent.flex.ini: percentage of plant protein consumption in 2015
# s: 'scale' binom. param (fixed) --> models the slope of the curve (if bigger; softer)
# t0: 'location' binom. param --> models peak year where more people will become flexetarian
# t0_mu; t0_m; t0_M; t0_sigma
# wf: flexetarians' weight --> models the social pressure of the fvvs' group
# wf_mu; wf_m; wf_M; wf_sigma
# k: percentage of fvv population by 2100; value computed based on wf; k_m; k_M; and k_sigma
# k_m; k_M; k_sigma
# Source: The NIELSEN survery 2016
# Column types: cnnnnnnnnnnnnn
# ----------
region,percent.flex.ini,s,t0_mu,t0_m,t0_M,t0_sigma,wf_mu,wf_m,wf_M,wf_sigma,k_m,k_M,k_sigma
USA,5.0868123843956,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
Africa_Eastern,33.0269503194302,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
Africa_Northern,10.0878644099305,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
Africa_Southern,33.8971107575798,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
Africa_Western,49.3387612440014,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
Australia_NZ,3.44907898824789,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
Brazil,6.99251828235583,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
Canada,8.05482904236303,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
Central America and Caribbean,13.2476607300086,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
Central Asia,2.34836077029111,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
China,5.88310541983199,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
EU-12,2.01198027138891,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
EU-15,3.65408281245118,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
Europe_Eastern,2.09017710257483,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
Europe_Non_EU,10.6148246969098,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
European Free Trade Association,3.32784789500238,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
India,22.5446601242473,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
Indonesia,16.1458926092627,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
Japan,3.40129849821733,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
Mexico,8.08774001236524,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
Middle East,11.7728783534229,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
Pakistan,4.24016990811324,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
Russia,1.8998674323189,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
South Africa,2.8330242881614,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
South America_Northern,5.0622072689825,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
South America_Southern,5.54409932889522,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
South Asia,19.415813232105,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
South Korea,5.05458013247303,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
Southeast Asia,8.73026802746752,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
Taiwan,6.10822775037536,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
Argentina,1.13761500440914,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
Colombia,4.85116437098777,20,2030,2020,2040,1.5,17,13,23,1.5,60,80,1.5
