# File: diets_multiplier_factor_SNR.csv
# Title: SNR scenario conversion factor (food increment / sw increment)
# Source: calibrate_sw_plant.R
# Units: Unitless
# Column types: cn
# ----------
scenario,multiplier_factor
snr_all_10,1.117
snr_all_20,1.25
snr_all_30,1.4
snr_all_40,1.65
snr_all_50,2
snr_all_60,3.7
snr_all_70,2.9
snr_all_80,2.2
snr_all_90,1
snr_plus_10,1
snr_plus_20,1.1
snr_plus_30,1.33
snr_plus_40,1.56
snr_plus_50,1.8
snr_plus_60,2.03
snr_plus_70,2.26
snr_plus_80,2.5
snr_plus_90,2.73
