# File: diets_multiplier_factor_SPP.csv
# Title: SPP scenario conversion factor (food increment / sw increment)
# Source: calibrate_sw_plant.R
# Units: Unitless
# Column types: cn
# ----------
scenario,multiplier_factor
spp_all_10,1
spp_all_20,1.1
spp_all_30,1.33
spp_all_40,1.56
spp_all_50,1.8
spp_all_60,2.2
spp_all_70,2.9
spp_all_80,4.45
spp_all_90,10
spp_plus_10,1
spp_plus_20,1.1
spp_plus_30,1.33
spp_plus_40,1.56
spp_plus_50,1.8
spp_plus_60,2.03
spp_plus_70,2.26
spp_plus_80,2.5
spp_plus_90,2.73
