# File: diets_plant_sw_REF.csv
# Title: SSP2 plant share weight
# Units: Unitless
# Comments: Values considering the IAM COMPACT branch updated with Xin's improvements and an additional sub-sector
# Column types: cccnnnnnnnnnnn
# ----------
scenario,region,subsector,X1990,X2005,X2010,X2015,X2020,X2025,X2030,X2035,X2040,X2045,X2050
REF_IAMCOMPACT+XIN,Africa_Eastern,Plant,0.406107,0.385591,0.514852,1,1,1,1,1,1,1,1
REF_IAMCOMPACT+XIN,Africa_Northern,Plant,0.242971,0.214694,0.193855,0.170204,0.170204,0.170204,0.170204,0.170204,0.170204,0.170204,0.170204
REF_IAMCOMPACT+XIN,Africa_Southern,Plant,0.497735,1,1,1,1,1,1,1,1,1,1
REF_IAMCOMPACT+XIN,Africa_Western,Plant,1,1,1,1,1,1,1,1,1,1,1
REF_IAMCOMPACT+XIN,Argentina,Plant,0.0105731,0.00892905,0.0139232,0.0177862,0.0177862,0.0177862,0.0177862,0.0177862,0.0177862,0.0177862,0.0177862
REF_IAMCOMPACT+XIN,Australia_NZ,Plant,0.0586056,0.0630551,0.0744971,0.074912,0.074912,0.074912,0.074912,0.074912,0.074912,0.074912,0.074912
REF_IAMCOMPACT+XIN,Brazil,Plant,0.244245,0.186791,0.167398,0.131023,0.131023,0.131023,0.131023,0.131023,0.131023,0.131023,0.131023
REF_IAMCOMPACT+XIN,Canada,Plant,0.0607003,0.0818786,0.111823,0.145637,0.145637,0.145637,0.145637,0.145637,0.145637,0.145637,0.145637
REF_IAMCOMPACT+XIN,Central America and Caribbean,Plant,0.231396,0.23763,0.230558,0.219589,0.219589,0.219589,0.219589,0.219589,0.219589,0.219589,0.219589
REF_IAMCOMPACT+XIN,Central Asia,Plant,0.0260843,0.0284269,0.0336766,0.0447679,0.0447679,0.0447679,0.0447679,0.0447679,0.0447679,0.0447679,0.0447679
REF_IAMCOMPACT+XIN,China,Plant,0.114547,0.0678302,0.0858913,0.0967551,0.0967551,0.0967551,0.0967551,0.0967551,0.0967551,0.0967551,0.0967551
REF_IAMCOMPACT+XIN,Colombia,Plant,0.11756,0.1224,0.0847184,0.0828705,0.0828705,0.0828705,0.0828705,0.0828705,0.0828705,0.0828705,0.0828705
REF_IAMCOMPACT+XIN,EU-12,Plant,0.0243076,0.0331349,0.0347418,0.0401336,0.0401336,0.0401336,0.0401336,0.0401336,0.0401336,0.0401336,0.0401336
REF_IAMCOMPACT+XIN,EU-15,Plant,0.0556665,0.0603939,0.0638342,0.0713613,0.0713613,0.0713613,0.0713613,0.0713613,0.0713613,0.0713613,0.0713613
REF_IAMCOMPACT+XIN,Europe_Eastern,Plant,0.0287577,0.0440043,0.0347773,0.0408372,0.0408372,0.0408372,0.0408372,0.0408372,0.0408372,0.0408372,0.0408372
REF_IAMCOMPACT+XIN,Europe_Non_EU,Plant,0.264007,0.263401,0.262623,0.224088,0.224088,0.224088,0.224088,0.224088,0.224088,0.224088,0.224088
REF_IAMCOMPACT+XIN,European Free Trade Association,Plant,0.0553355,0.0544248,0.0549414,0.0611689,0.0611689,0.0611689,0.0611689,0.0611689,0.0611689,0.0611689,0.0611689
REF_IAMCOMPACT+XIN,India,Plant,1,0.479194,0.480807,0.48039,0.48039,0.48039,0.48039,0.48039,0.48039,0.48039,0.48039
REF_IAMCOMPACT+XIN,Indonesia,Plant,1,0.392488,0.281958,0.171436,0.171436,0.171436,0.171436,0.171436,0.171436,0.171436,0.171436
REF_IAMCOMPACT+XIN,Japan,Plant,0.057895,0.0554489,0.0494889,0.0502645,0.0502645,0.0502645,0.0502645,0.0502645,0.0502645,0.0502645,0.0502645
REF_IAMCOMPACT+XIN,Mexico,Plant,0.195107,0.17355,0.153643,0.145004,0.145004,0.145004,0.145004,0.145004,0.145004,0.145004,0.145004
REF_IAMCOMPACT+XIN,Middle East,Plant,0.217467,0.261788,0.240972,0.254465,0.254465,0.254465,0.254465,0.254465,0.254465,0.254465,0.254465
