# File: diets_rumin_sw_REF.csv
# Title: SSP2 ruminant share weight
# Units: Unitless
# Comments: Values considering the IAM COMPACT branch updated with Xin's improvements and an additional sub-sector
# Column types: cccnnnnnnnnnnn
# ----------
scenario,region,subsector,X1990,X2005,X2010,X2015,X2020,X2025,X2030,X2035,X2040,X2045,X2050
REF_IAMCOMPACT+XIN,Africa_Eastern,Ruminant,1,1,1,1,1,1,1,1,1,1,1
REF_IAMCOMPACT+XIN,Africa_Northern,Ruminant,1,1,1,1,1,1,1,1,1,1,1
REF_IAMCOMPACT+XIN,Africa_Southern,Ruminant,1,1,1,1,1,1,1,1,1,1,1
REF_IAMCOMPACT+XIN,Africa_Western,Ruminant,1,1,1,1,1,1,1,1,1,1,1
REF_IAMCOMPACT+XIN,Argentina,Ruminant,1,1,1,1,1,1,1,1,1,1,1
REF_IAMCOMPACT+XIN,Australia_NZ,Ruminant,1,1,1,1,1,1,1,1,1,1,1
REF_IAMCOMPACT+XIN,Brazil,Ruminant,1,1,1,1,1,1,1,1,1,1,1
REF_IAMCOMPACT+XIN,Canada,Ruminant,1,1,1,1.01213,1.01213,1.01213,1.01213,1.01213,1.01213,1.01213,1.01213
REF_IAMCOMPACT+XIN,Central America and Caribbean,Ruminant,1,1,1,0.95696,0.95696,0.95696,0.95696,0.95696,0.95696,0.95696,0.95696
REF_IAMCOMPACT+XIN,Central Asia,Ruminant,1,1,1,1,1,1,1,1,1,1,1
REF_IAMCOMPACT+XIN,China,Ruminant,0.12099,0.238252,0.248202,0.242768,0.242768,0.242768,0.242768,0.242768,0.242768,0.242768,0.242768
REF_IAMCOMPACT+XIN,Colombia,Ruminant,1,1,1,1,1,1,1,1,1,1,1
REF_IAMCOMPACT+XIN,EU-12,Ruminant,1,1,1,0.774,0.774,0.774,0.774,0.774,0.774,0.774,0.774
REF_IAMCOMPACT+XIN,EU-15,Ruminant,1,1,1,1,1,1,1,1,1,1,1
REF_IAMCOMPACT+XIN,Europe_Eastern,Ruminant,1,1,1,1,1,1,1,1,1,1,1
REF_IAMCOMPACT+XIN,Europe_Non_EU,Ruminant,1,1,1,1,1,1,1,1,1,1,1
REF_IAMCOMPACT+XIN,European Free Trade Association,Ruminant,1,1,1,1,1,1,1,1,1,1,1
REF_IAMCOMPACT+XIN,India,Ruminant,1,1,1,1,1,1,1,1,1,1,1
REF_IAMCOMPACT+XIN,Indonesia,Ruminant,0.386508,0.415395,0.38267,0.365653,0.365653,0.365653,0.365653,0.365653,0.365653,0.365653,0.365653
REF_IAMCOMPACT+XIN,Japan,Ruminant,0.844169,0.723476,0.641367,0.601143,0.601143,0.601143,0.601143,0.601143,0.601143,0.601143,0.601143
REF_IAMCOMPACT+XIN,Mexico,Ruminant,1,0.978027,0.78,0.695888,0.695888,0.695888,0.695888,0.695888,0.695888,0.695888,0.695888
REF_IAMCOMPACT+XIN,Middle East,Ruminant,1,1,1,1,1,1,1,1,1,1,1
REF_IAMCOMPACT+XIN,Pakistan,Ruminant,1,1,1,1,1,1,1,1,1,1,1
REF_IAMCOMPACT+XIN,Russia,Ruminant,1,1,1,1,1,1,1,1,1,1,1
REF_IAMCOMPACT+XIN,South Africa,Ruminant,1,1,1,1,1,1,1,1,1,1,1
REF_IAMCOMPACT+XIN,South America_Northern,Ruminant,1,1,1,1,1,1,1,1,1,1,1
REF_IAMCOMPACT+XIN,South America_Southern,Ruminant,1,1,1,0.981622,0.981622,0.981622,0.981622,0.981622,0.981622,0.981622,0.981622
REF_IAMCOMPACT+XIN,South Asia,Ruminant,1,1,1,1,1,1,1,1,1,1,1
REF_IAMCOMPACT+XIN,South Korea,Ruminant,0.768172,0.559366,0.511875,0.479625,0.479625,0.479625,0.479625,0.479625,0.479625,0.479625,0.479625
REF_IAMCOMPACT+XIN,Southeast Asia,Ruminant,0.371055,0.30422,0.267207,0.270899,0.270899,0.270899,0.270899,0.270899,0.270899,0.270899,0.270899
REF_IAMCOMPACT+XIN,Taiwan,Ruminant,0.215305,0.20741,0.200407,0.226611,0.226611,0.226611,0.226611,0.226611,0.226611,0.226611,0.226611
REF_IAMCOMPACT+XIN,USA,Ruminant,1,1,1,1,1,1,1,1,1,1,1
