,region,year,Legumes,NutsSeeds,Beef,Dairy,OtherMeat_Fish,Pork,Poultry,SheepGoat
1,USA,1973,0.3218196,0.3901751,0.0662607,0.3380006,0.719133,0.1171302,0.086349,0.0009905
2,Africa_Eastern,1973,0.2246822,0.257749,0.0473295,0.1378577,0.0110797,0.0010629,0,0.0021646
3,Africa_Northern,1973,0.2031069,0.035895,1.62E-05,0,0.280756,0,0,9.62E-05
4,Africa_Southern,1973,0.0818325,0.3519124,0.1034867,0.0029341,0.3863354,2.14E-05,0,0
5,Africa_Western,1973,0.0131228,1.1527562,0.0099237,0.0058606,0.1238254,8.79E-05,0,0
6,Australia_NZ,1973,0.0496916,0.0114851,1.0827025,5.4396222,0.092947,0.0225884,0.0386776,0.5667345
7,Brazil,1973,0.0093184,0.2683636,0.1866631,0.0029116,0.0502426,0.012643,0,0.0008861
8,Canada,1973,0.0897234,0,0.0447043,1.4849967,0.6928738,0.1282025,0.012567,0.0001902
9,Central America and Caribbean,1973,0.0133341,0.0025669,0.1171652,0.0330515,0.0823132,0,0.00097,0
10,Central Asia,1973,0.002708,0.0002842,0.0646755,0.0043721,0.0034941,0,0,0.0189519
11,China,1973,0.1245813,0.1304938,0.008554,0.021417,0.1966331,0.1962914,0.082169,0.0008847
12,EU-12,1973,0.069404,0.0069324,0.2604773,1.2018282,0.2059413,0.5404282,0.2229774,0.0082443
13,EU-15,1973,0.3005855,0.4583469,0.846892,21.2903685,2.8684268,1.5520771,0.6883973,0.0504124
14,Europe_Eastern,1973,0.0495392,0.0005376,0.2286519,0.0515501,0.0202867,0,0,0.0001297
15,Europe_Non_EU,1973,0.1053784,0.2173856,0.0543899,0.004645,0.0157145,0.0441811,0.0006214,0.0079504
16,European Free Trade Association,1973,6.69E-05,0.0020325,0.0035995,0.8431925,3.5802877,0.0063173,0,0.0027422
17,India,1973,0.0485521,1.1216485,0.0009983,0,0.0801121,0,0,0
18,Indonesia,1973,0.0028888,0.0402695,2.00E-06,0,0.0567249,0,0,0
19,Japan,1973,0.0041293,0.0002371,0.0064908,0.0766135,0.9377822,0.0288161,0.0009667,0.000508
20,Mexico,1973,0.0912679,0.0016622,0.03496,0.0048718,0.0863962,0.0009811,0,8.70E-06
21,Middle East,1973,0.060893,0.0636201,0,0.0171523,0.026614,0.0011106,0.0193044,0.0012736
22,Pakistan,1973,0.0033038,0.0024797,0,0,0.1016724,0,0,0
23,Russia,1973,0.04954,0.0005087,0.0006168,0.0757751,0.3339851,0,0,0
24,South Africa,1973,0.0102246,0.1420464,0.0746158,0.01061,0.4010084,0.005002,0.0106579,8.70E-06
25,South America_Northern,1973,0.0001677,0.0002417,0.0057514,0,0.0114055,0.0010961,0,0
26,South America_Southern,1973,0.0133091,0.0066156,0.151177,0.0408803,1.6603413,6.57E-05,0,0.0009184
27,South Asia,1973,0.003823,0.0116735,0,0.0019476,0.0243206,0,0,0
28,South Korea,1973,0.0001095,3.24E-05,0.0009901,0,0.344038,0.0049088,0,0.000703
29,Southeast Asia,1973,0.2045182,0.0537119,0.0041449,0.0494613,0.5182307,0.0023696,0.0020387,0
30,Taiwan,1973,0.0141899,0.0033428,1.90E-06,0,0.130103,0.0371213,0.0009648,2.17E-05
31,Argentina,1973,0.0542121,0.1851798,0.5206274,0.189371,0.1264362,0.0100027,0,0.0214359
32,Colombia,1973,0.0102741,0,0.0361155,0.0223874,0.0018307,0,0,0
33,USA,1974,0.2965626,0.4635141,0.0438056,0.2989024,0.7482511,0.0455107,0.0982661,0.0009993
34,Africa_Eastern,1974,0.1902363,0.241654,0.0377424,0.093399,0.0145973,0.0010163,0.0005048,0.0023302
35,Africa_Northern,1974,0.1523037,0.01934,0.0001015,0,0.1803063,0,0,3.70E-06
36,Africa_Southern,1974,0.047081,0.3476041,0.1068362,0.0048439,0.3177521,1.00E-07,0,0.000956
37,Africa_Western,1974,0.0071755,0.703276,0.0120139,0.0057946,0.1370275,0,0,3.30E-06
38,Australia_NZ,1974,0.0555426,0.0096539,1.0042708,7.0641457,0.0831904,0.0116019,0.0232853,0.4328368
39,Brazil,1974,0.0042427,0.2266459,0.1077249,0.0019248,0.0357292,0.0019536,0.0009694,3.10E-06
40,Canada,1974,0.0487077,0,0.0270674,0.755545,0.5726738,0.0426354,0.0193742,4.99E-05
41,Central America and Caribbean,1974,0.0196372,0.0014695,0.099889,0.0346367,0.065508,0,0.0009773,1.92E-05
42,Central Asia,1974,0.0025633,0,0.0519469,0.005389,0.0032517,0.0001821,0,0.0267542
43,China,1974,0.0936991,0.1291735,0.0110242,0.0289266,0.1935456,0.0878396,0.0736449,0.0009652
