"","region","year","legumes","nuts_seeds","beef","dairy","pork","poultry","sheepgoat"
"1","USA",1973,0.1502281,0.2766384,0.9738344,4.1474941,0.2537062,0.0072737,0.0207521
"2","Africa_Eastern",1973,0.0229721,0.0022479,0.0010658,0.2078779,0.0010599,0,0.0013921
"3","Africa_Northern",1973,0.0399693,0.0338636,0.0081086,0.4766664,0,0.004309,0.0039934
"4","Africa_Southern",1973,0.0152655,0.0237933,0.0105916,0.1861846,0.0009977,0.0010522,0.0010139
"5","Africa_Western",1973,0.0080918,0.0743484,0.0167121,0.6456999,0.004102,0,0.0021077
"6","Australia_NZ",1973,0.0121873,0.0313192,0,0.0821876,0.0025535,0,0
"7","Brazil",1973,0.0355862,0.0189069,0.0020077,0.5766132,0,0.0010353,0
"8","Canada",1973,0.0143223,0.1447143,0.1024218,0.3447314,0.0214387,0.0113887,0.0253297
"9","Central America and Caribbean",1973,0.1423654,0.0203285,0.0357405,1.1479734,0.0224027,0.0187007,0.0063355
"10","Central Asia",1973,0.0875661,0.0868255,0.0171028,0.1246144,0.009307,0.0292948,0
"11","China",1973,0.0203354,0.0452221,0.0250865,0.1517215,0.0275514,0.0911097,0.0028863
"12","EU-12",1973,0.031539,0.3795968,0.064869,0.356135,0.1205788,0.0193986,0.0103432
"13","EU-15",1973,1.1049339,2.8158777,1.8559122,15.5105281,1.4459143,0.6896455,0.457342
"14","Europe_Eastern",1973,0,0.0360916,0.0009323,0.0109107,0.0415732,0.0025544,0
"15","Europe_Non_EU",1973,0.0120665,0.0149987,0.0062303,0.1153523,0.0335201,0.0113307,0
"16","European Free Trade Association",1973,0.0118623,0.2179597,0.0470373,0.3513851,0.0152595,0.0650295,0.0079209
"17","India",1973,0.0061008,0.1741429,0,0.326312,0,0,0
"18","Indonesia",1973,0.0030503,0,0.0010047,0.3222426,0,0,0
"19","Japan",1973,0.2037647,0.3432878,0.1634724,0.9819263,0.1448259,0.0693699,0.0781897
"20","Mexico",1973,0.0182899,0.0039804,0.0010032,0.6492139,0.0009811,0.0010359,0.0011573
"21","Middle East",1973,0.1038381,0.0248308,0.0614798,0.9475103,0.0020317,0.0663781,0.0402476
"22","Pakistan",1973,0,0,0,0.0220563,0,0,0
"23","Russia",1973,0,0.0488985,0.4789835,0.334511,0.5564277,0.0574746,0.0096027
"24","South Africa",1973,0.0231603,0.040706,0.0391814,0.2370914,0,0,0.0011526
"25","South America_Northern",1973,0.0362453,0.0187648,0.0040184,0.3398309,0.0010226,0,0
"26","South America_Southern",1973,0.0020154,0.0009951,0.0260789,0.4734156,0.0030648,0.0082707,0.0045707
"27","South Asia",1973,0.0264901,0.0028431,0,0.2923297,0,0,0
"28","South Korea",1973,0,0,0.0009937,0.0260419,0.0009032,0,0.0049778
"29","Southeast Asia",1973,0.0540774,0.037014,0.0171793,1.6383002,0.0032833,0.0120093,0.0059403
"30","Taiwan",1973,0.027729,0,0.0009356,0.2026602,0,0,0
"31","Argentina",1973,0.0010074,0.0019902,0,0.0060947,0,0,0
"32","Colombia",1973,0.0152378,0,0,0.116066,0,0,0
"33","USA",1974,0.0500206,0.2292176,0.8276532,3.9783548,0.2350557,0.0082896,0.0103882
"34","Africa_Eastern",1974,0.0126446,0.0015315,0.0011052,0.2329303,0.0010893,0,0.0012482
"35","Africa_Northern",1974,0.0330787,0.0128893,0.0074497,0.7007307,0,0.0042823,0.0012236
"36","Africa_Southern",1974,0.0149473,0.0081772,0.0073094,0.2924218,0.0010084,0,0.0010225
"37","Africa_Western",1974,0.0075853,0.0618997,0.0214058,0.6633626,0.0039905,0.0010848,0.0010901
"38","Australia_NZ",1974,0.015898,0.0442206,0,0.0841286,0.0051976,0,0
"39","Brazil",1974,0.0089685,0.0217809,0.0553429,0.2586799,0,0.0010325,0.0010364
"40","Canada",1974,0.0159614,0.1425144,0.0824983,0.4079632,0.0311387,0.0165073,0.0166377
"41","Central America and Caribbean",1974,0.1670255,0.0091865,0.0430003,1.2919801,0.0202227,0.020817,0.0064069
"42","Central Asia",1974,0.0569751,0.0743496,0.083406,0.0845147,0,0.0307772,0
"43","China",1974,0.0219267,0.0428221,0.0250283,0.1707179,0.022829,0.0918508,0.0019659
"44","EU-12",1974,0.0409016,0.454156,0.0657649,0.4079535,0.0601871,0.0264139,0.0093618
"45","EU-15",1974,0.7659649,2.2653773,1.3648448,14.7935667,1.4838869,0.7155408,0.3095198
"46","Europe_Eastern",1974,0,0.042722,0.0047729,0.0029799,0,0.0026005,0
"47","Europe_Non_EU",1974,0.0136682,0.0129727,0.0024349,0.1329783,0.0155748,0.0035388,0.0020757
"48","European Free Trade Association",1974,0.014,0.1542618,0.0240163,0.3823596,0.0145066,0.060436,0.0079329
"49","India",1974,0.0039867,0.1856559,0.0008378,0.39183,0,0,0.0009656
"50","Indonesia",1974,0.0029827,0,0.0010446,0.3648014,0,0,0
"51","Japan",1974,0.1608423,0.2424482,0.0741547,1.2291146,0.0601815,0.0619451,0.0934251
"52","Mexico",1974,0.0398379,0.0041487,0.0010432,1.0634951,0,0.0010324,0.0010082
"53","Middle East",1974,0.153193,0.0263535,0.0566504,1.2345258,0.0009183,0.1020817,0.0556405
"54","Pakistan",1974,0,0.0020744,0,0.0405059,0,0,0
"55","Russia",1974,0,0.0545452,0.7282803,0.1752274,0,0.0862992,0.0099168
"56","South Africa",1974,0.0079401,0.0071121,0.0375939,0.3570417,0,0.0010311,0.0009673
"57","South America_Northern",1974,0.0326531,0.02104,0.0072917,0.2147315,0,0,0
"58","South America_Southern",1974,0.0019867,0,0.0491181,0.7916968,0.0062212,0.0061963,0.0176195
"59","South Asia",1974,0.0139786,0,0,0.1985431,0,0,0
"60","South Korea",1974,0,0,0,0.0313977,0.0007575,0,0.008145
"61","Southeast Asia",1974,0.038957,0.0381855,0.0188833,1.6412278,0.0033307,0.0119932,0.0070331
"62","Taiwan",1974,0.0308201,0,0.0019857,0.2184269,0,0.0010306,0
"63","Argentina",1974,0.0010017,0.0041487,0,0.0092387,0.0009317,0,0
"64","Colombia",1974,0.0140106,0,0,0.0802567,0,0,0
"65","USA",1975,0.031375,0.2488041,0.9242466,3.0617414,0.2206944,0.0064151,0.0141543
"66","Africa_Eastern",1975,0.0158422,0.0010405,0.0030638,0.2235808,0.0010875,0,0.0022845
"67","Africa_Northern",1975,0.1118243,0.0181989,0.0346194,0.851783,0,0.0117801,0.0040949
