"","region","year","Legumes","NutsSeeds","Beef","Dairy","OtherMeat_Fish","Pork","Poultry","SheepGoat"
"1","USA",1973,0.894082,1.997812,9.834373,52.769522,3.465404,5.798757,8.768396,0.233364
"2","Africa_Eastern",1973,2.083327,0.908438,0.761231,5.495141,0.496002,0.034277,0.276405,0.33136
"3","Africa_Northern",1973,0.856758,0.094694,0.388734,3.088317,0.636026,0.003681,0.324581,0.239377
"4","Africa_Southern",1973,0.589538,0.964595,0.427517,1.202195,0.89235,0.053777,0.127012,0.065906
"5","Africa_Western",1973,1.275611,3.325154,0.541064,1.412182,1.66275,0.105859,0.359261,0.18548
"6","Australia_NZ",1973,0.133847,0.038784,1.883444,13.23778,0.241914,0.271473,0.43504,1.27137
"7","Brazil",1973,2.31795,0.68064,2.202,7.8455,0.834561,0.70056,0.917796,0.0587
"8","Canada",1973,0.126775,0,0.906266,7.666858,1.228319,0.763364,0.780875,0.009002
"9","Central America and Caribbean",1973,0.374046,0.10137,0.511669,2.536566,0.383988,0.163947,0.402326,0.012671
"10","Central Asia",1973,0.212286,0.0210851,1.1804706,13.1934865,0.4677988,0.3544733,0.4223347,0.6357426
"11","China",1973,6.3,2.403,0.244907,2.154,5.05324,7.454132,3.1025,0.2802234
"12","EU-12",1973,0.8125273,0.1198465,1.5870031,33.9113207,1.7199657,4.2987815,2.2422094,0.2006762
"13","EU-15",1973,1.746533,0.914248,6.8523,116.245617,8.945794,10.662794,9.017927,0.775605
"14","Europe_Eastern",1973,3.4397948,0.0314161,1.6519306,25.6582969,0.8715672,1.6433971,1.0565364,0.050272
"15","Europe_Non_EU",1973,0.8721087,0.5442065,0.3526771,10.8945932,0.2295505,0.4920785,0.5318694,0.4018131
"16","European Free Trade Association",1973,0.0025,0.0075,0.194408,5.2443,4.186732,0.313045,0.112432,0.03244
"17","India",1973,10.8243,6.222966,1.3762,23.2,2.08831,0.205275,0.497086,0.3812
"18","Indonesia",1973,0.353,0.5,0.2272,0.181,1.295615,0.1375,0.172163,0.045508
"19","Japan",1973,0.2353,0.1603,0.245769,4.908359,11.04451,0.97052,2.499681,0.000508
"20","Mexico",1973,1.283164,0.084834,0.476679,5.62393,0.574449,0.641441,0.677238,0.048258
"21","Middle East",1973,0.412238,0.170531,0.249099,4.186051,0.26767,0.00896,0.645226,0.368294
"22","Pakistan",1973,0.86332,0.08835,0.318,7.899,0.24718,0,0.046485,0.176
"23","Russia",1973,4.0207082,0.0005087,2.8544656,45.5191056,7.5255928,2.8207876,2.6055174,0.3514881
"24","South Africa",1973,0.0822,0.2015,0.488394,2.792,1.50468,0.0999,0.272576,0.159211
"25","South America_Northern",1973,0.030555,0.009187,0.243182,1.07913,0.189164,0.076163,0.246934,0.009451
"26","South America_Southern",1973,0.307235,0.053124,0.701436,3.338949,3.28527,0.238279,0.372399,0.129049
"27","South Asia",1973,0.605235,0.09162,0.301994,2.752052,0.982831,0.006539,0.184667,0.161809
"28","South Korea",1973,0.03354,0.012276,0.047516,0.106722,1.69069,0.090126,0.204777,0.000703
"29","Southeast Asia",1973,0.884083,0.726861,0.637227,0.447224,5.663006,1.225907,1.526653,0.020197
"30","Taiwan",1973,0.032322,0.108276,0.005592,0.03764,0.759034,0.486983,0.182614,0.00038
"31","Argentina",1973,0.0971,0.44584,2.148578,5.220984,0.420471,0.257707,0.39889,0.138396
"32","Colombia",1973,0.1109,9e-04,0.408,2.3,0.11122,0.08345,0.13874,0.0084
"33","USA",1974,1.171381,2.052769,10.73789,52.803076,3.534462,6.2764,8.7652,0.211138
"34","Africa_Eastern",1974,2.010281,1.273382,0.777921,5.465499,0.505261,0.032542,0.283282,0.317416
"35","Africa_Northern",1974,1.173692,0.102444,0.401563,3.196148,0.542992,0.003028,0.333872,0.240437
"36","Africa_Southern",1974,0.581892,0.968016,0.400273,1.212263,0.821296,0.056363,0.136606,0.067963
"37","Africa_Western",1974,1.924415,4.850783,0.535338,1.415566,1.708183,0.107744,0.377193,0.193214
"38","Australia_NZ",1974,0.162502,0.029461,1.726517,12.614935,0.253821,0.245436,0.470364,0.966297
"39","Brazil",1974,2.319592,0.52399,2.03,9.1078,0.775694,0.723,0.969956,0.0589
"40","Canada",1974,0.135124,0,0.953071,7.63316,1.097163,0.767201,0.780388,0.007479
"41","Central America and Caribbean",1974,0.398011,0.091203,0.470054,2.651661,0.367426,0.162793,0.414316,0.012343
