"Data Source","World Development Indicators",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.13861","9.92892","11.48148","12.40784","11.9183","12.52819","10.39354","11.55591","10.56296","10.55773","8.33161","10.22609","","","9.78078","9.72927","","","","","","","","",
"Africa Eastern and Southern","AFE","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","11.769","","","","","","","","","","","","","","","","","","","7.13094","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","59.07274","57.12202","","","","","","","","","","","","","","","35.2671","","","","","","","","","","26.82652","26.79995","26.82836","23.14032","","","","","","","","","","","",
"Albania","ALB","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.33938","8.33876","8.98575","","8.22274","6.96962","","","","8.61366","7.57569","7.34869","7.63816","7.36501","7.1619","5.9789","6.35085","5.90024","5.53507","5.9339","","","","",
"Andorra","AND","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.93734","8.18505","6.95696","6.7838","6.13823","","","","",
"Arab World","ARB","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","14.03453","","11.07307","11.29585","10.57609","4.24267","3.92815","3.68035","3.48529","7.24267","6.26289","6.15237","6.30386","6.47569","6.25539","5.93237","4.685","4.51967","4.37231","4.26972","4.24702","4.03812","3.86034","3.87928","3.56477","3.55174","3.55213","3.09227","2.9733","2.96961","","2.53964","2.54083","2.81072","2.84618","2.90199","3.36342","5.22582","4.40822","4.9516","","","","","",
"Argentina","ARG","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","8.57706","","","","8.01347","8.14429","","","","","","","","","","","","","","","","9.78719","","","","","","","6.90881","10.11659","10.19093","10.37059","10.82","11.15322","11.73414","11.49189","11.88405","12.19147","12.25832","12.17224","11.71784","10.91888","10.1458","9.08007","8.44527","8.02634","7.63249","6.75196","","","","","",
