"Data Source","World Development Indicators",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.92949","12.51838","13.61948","15.6293","15.83139","16.39035","13.72993","14.08159","13.32957","13.42907","10.28001","13.10304","","","13.02629","13.05031","","","","","","","","",
"Africa Eastern and Southern","AFE","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","19.55751","","","","","","","","","","","","","","","","","","","7.13159","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","61.56094","60.35589","","","","","","","","","","","","","","","37.72788","","","","","","","","","","29.25597","29.21109","29.19722","23.28793","","","","","","","","","","","",
"Albania","ALB","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.56794","8.56913","8.70145","","8.38319","7.77977","","","","9.56818","8.64328","8.53526","8.72874","8.61199","8.50432","7.08751","7.46585","7.11127","6.68435","7.16425","","","","",
"Andorra","AND","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.23256","8.51161","9.06667","8.40108","7.40248","","","","",
"Arab World","ARB","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","17.48514","","14.22547","15.07542","12.72039","5.66736","4.97467","4.50919","4.53963","7.74911","7.06175","6.89713","7.17256","6.9988","6.99307","7.0387","9.63724","6.15337","5.99945","6.0749","5.90434","5.83038","5.60907","5.63687","5.00445","4.88802","4.4875","3.92066","3.75675","3.51072","","2.98542","3.08577","3.25498","3.3045","3.2654","3.19322","5.78871","4.1102","4.02892","","","","","",
"Argentina","ARG","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","9.96169","","","","8.84932","9.07837","","","","","","","","","","","","","","","","10.86705","","","","","","","7.7513","10.11659","10.19093","10.37059","10.82","11.15322","11.33059","11.49189","11.88405","12.19147","12.25832","12.17224","11.71784","10.91888","10.1458","9.07997","8.44527","8.02634","7.01466","6.13172","","","","","",
"Armenia","ARM","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.92205","2.77455","","2.83476","2.03776","1.50615","","","","3.08859","2.34523","3.19832","2.98169","2.28874","2.24787","2.09652","1.99971","","","","",
"American Samoa","ASM","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.53967","11.12226","10.43598","13.7675","11.91901","13.65232","","11.6354","5.72696","","5.06803","4.10346","","","","",
"Australia","AUS","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","7.43554","","7.59094","7.78947","7.53138","7.28847","6.78707","6.41109","6.35562","6.3719","6.21802","6.34162","6.87721","7.3071","6.09986","6.13376","5.99966","5.86304","5.94941","5.9733","6.45124","6.56498","6.94692","7.1063","6.4582","6.29554","6.29092","6.31633","6.35614","6.47558","6.53293","6.74044","6.82322","7.01489","7.06497","7.21044","7.22222","7.02066","7.06394","7.67749","7.70133","7.62808","7.39136","7.37002","4.165","4.12484","4.1527","","","","","",
"Austria","AUT","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.52209","","","","","","","","","","13.06833","12.9185","13.19031","13.69405","13.94674","13.94699","13.90415","14.02533","14.26194","13.86075","13.72086","13.50679","13.65978","13.02269","13.65245","13.68867","14.27069","14.11877","14.33064","","","","","",
