"Data Source","World Development Indicators",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.56596","11.25985","12.57948","14.0752","13.95372","14.54099","12.11707","12.84889","11.98531","12.03556","9.33226","11.69608","","","11.45568","11.45069","","","","","","","","",
"Africa Eastern and Southern","AFE","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","18.43234","","","","","","","","","","","","","","","","","","","7.13143","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","60.39768","58.8847","","","","","","","","","","","","","","","36.60637","","","","","","","","","","28.13541","28.10576","28.13743","23.23049","","","","","","","","","","","",
"Albania","ALB","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.4579","8.45793","8.83956","","8.30601","7.38917","","","","9.11137","8.13504","7.97087","8.21154","8.02306","7.87141","6.56295","6.94056","6.53917","6.14233","6.58079","","","","",
"Andorra","AND","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.09348","8.35735","8.07439","7.62374","6.79769","","","","",
"Arab World","ARB","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","15.8609","","12.72648","13.26946","11.69939","4.98737","4.47264","4.11111","4.03155","7.50379","6.67499","6.53715","6.75352","6.74688","6.63864","6.50567","7.26167","5.37148","5.21656","5.20753","5.10636","4.96957","4.77221","4.79361","4.3126","4.24286","4.03532","3.51893","3.37641","3.2482","","2.77075","2.82099","3.03891","3.08172","3.08829","3.27642","5.51331","4.25359","4.48131","","","","","",
"Argentina","ARG","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","9.27763","","","","8.4379","8.61836","","","","","","","","","","","","10.32002","","","","10.33689","","","","","","5.57432","7.3387","10.11659","10.19093","10.37059","10.82","11.15322","11.52822","11.49189","11.88405","12.19147","12.25832","12.17224","11.71784","10.91888","10.1458","9.08002","8.44527","8.02634","7.31761","6.43589","","","","","",
