Macrotrends Data Download,,,,
,,,,
Taiwan Population 1950-2023,,,,
Original Source: United Nations - World Population Prospects,,,,
,,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,,
,,,,
,,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,,
,,,,
,,,,
date, Population, Annual % Change,,year
31/12/1950,7623130,,,1950
31/12/1951,7934689,4.09,,1951
31/12/1952,8251039,3.99,,1952
31/12/1953,8572131,3.89,,1953
31/12/1954,8897776,3.8,,1954
31/12/1955,9229462,3.73,,1955
31/12/1956,9567049,3.66,,1956
31/12/1957,9909453,3.58,,1957
31/12/1958,10256963,3.51,,1958
31/12/1959,10612773,3.47,,1959
31/12/1960,10983147,3.49,,1960
31/12/1961,11371850,3.54,,1961
31/12/1962,11779051,3.58,,1962
31/12/1963,12200148,3.57,,1963
31/12/1964,12630946,3.53,,1964
31/12/1965,13070708,3.48,,1965
31/12/1966,13515900,3.41,,1966
31/12/1967,13917831,2.97,,1967
31/12/1968,14271112,2.54,,1968
31/12/1969,14617237,2.43,,1969
31/12/1970,14957870,2.33,,1970
31/12/1971,15292065,2.23,,1971
31/12/1972,15617414,2.13,,1972
31/12/1973,15933845,2.03,,1973
31/12/1974,16243905,1.95,,1974
31/12/1975,16551774,1.9,,1975
31/12/1976,16860821,1.87,,1976
31/12/1977,17171482,1.84,,1977
31/12/1978,17482884,1.81,,1978
31/12/1979,17793465,1.78,,1979
31/12/1980,18100281,1.72,,1980
31/12/1981,18400556,1.66,,1981
31/12/1982,18692874,1.59,,1982
31/12/1983,18976104,1.52,,1983
31/12/1984,19249250,1.44,,1984
31/12/1985,19511876,1.36,,1985
