"","GCAM_region_ID","Indicator.Name","region","year","value"
"1",1,"Population, female","USA","1960",92335336
"2",2,"Population, female","Africa_Eastern","1960",32071728
"3",3,"Population, female","Africa_Northern","1960",27719299
"4",4,"Population, female","Africa_Southern","1960",17780564
"5",5,"Population, female","Africa_Western","1960",56808208
"6",6,"Population, female","Australia_NZ","1960",6264752
"7",7,"Population, female","Brazil","1960",36434422
"8",8,"Population, female","Canada","1960",8850971
"9",9,"Population, female","Central America and Caribbean","1960",15626444
"10",10,"Population, female","Central Asia","1960",17611001
"11",11,"Population, female","China","1960",327529144
"12",12,"Population, female","EU-12","1960",45577729
"13",13,"Population, female","EU-15","1960",164576923
"14",14,"Population, female","Europe_Eastern","1960",29381973
"15",15,"Population, female","Europe_Non_EU","1960",22571537
"16",16,"Population, female","European Free Trade Association","1960",4639135
"17",17,"Population, female","India","1960",215819000
"18",18,"Population, female","Indonesia","1960",44298836
"19",19,"Population, female","Japan","1960",47434416
"20",20,"Population, female","Mexico","1960",18028913
"21",21,"Population, female","Middle East","1960",23956610
"22",22,"Population, female","Pakistan","1960",21159049
"23",23,"Population, female","Russia","1960",66181851
"24",24,"Population, female","South Africa","1960",8017980
"25",25,"Population, female","South America_Northern","1960",4459256
"26",26,"Population, female","South America_Southern","1960",15516826
"27",27,"Population, female","South Asia","1960",38225789
"28",28,"Population, female","South Korea","1960",12489338
"29",29,"Population, female","Southeast Asia","1960",71521456
"30",30,"Population, total","Taiwan","1960",0
"31",31,"Population, female","Argentina","1960",10158262
"32",32,"Population, female","Colombia","1960",7875810
"33",1,"Population, female","USA","1961",93977837
"34",2,"Population, female","Africa_Eastern","1961",32956286
"35",3,"Population, female","Africa_Northern","1961",28368324
"36",4,"Population, female","Africa_Southern","1961",18209058
"37",5,"Population, female","Africa_Western","1961",58050778
"38",6,"Population, female","Australia_NZ","1961",6391986
"39",7,"Population, female","Brazil","1961",37566819
"40",8,"Population, female","Canada","1961",9040809
"41",9,"Population, female","Central America and Caribbean","1961",16024499
"42",10,"Population, female","Central Asia","1961",18196512
"43",11,"Population, female","China","1961",324505645
"44",12,"Population, female","EU-12","1961",45961836
"45",13,"Population, female","EU-15","1961",165813367
"46",14,"Population, female","Europe_Eastern","1961",29726592
"47",15,"Population, female","Europe_Non_EU","1961",23042629
"48",16,"Population, female","European Free Trade Association","1961",4708069
"49",17,"Population, female","India","1961",220791299
"50",18,"Population, female","Indonesia","1961",45505228
"51",19,"Population, female","Japan","1961",47855063
"52",20,"Population, female","Mexico","1961",18616799
"53",21,"Population, female","Middle East","1961",24631593
"54",22,"Population, female","Pakistan","1961",21697194
"55",23,"Population, female","Russia","1961",66771372
"56",24,"Population, female","South Africa","1961",8263745
"57",25,"Population, female","South America_Northern","1961",4621066
"58",26,"Population, female","South America_Southern","1961",15901154
"59",27,"Population, female","South Asia","1961",39264385
"60",28,"Population, female","South Korea","1961",12855534
"61",29,"Population, female","Southeast Asia","1961",73457644
"62",30,"Population, total","Taiwan","1961",0
"63",31,"Population, female","Argentina","1961",10335069
"64",32,"Population, female","Colombia","1961",8121112
"65",1,"Population, female","USA","1962",95551259
