"","GCAM_region_ID","Indicator.Name","region","year","value"
"1",1,"Population, male","USA","1960",90726164
"2",2,"Population, male","Africa_Eastern","1960",31879252
"3",3,"Population, male","Africa_Northern","1960",28101733
"4",4,"Population, male","Africa_Southern","1960",17140233
"5",5,"Population, male","Africa_Western","1960",55792674
"6",6,"Population, male","Australia_NZ","1960",6383524
"7",7,"Population, male","Brazil","1960",36658093
"8",8,"Population, male","Canada","1960",9058385
"9",9,"Population, male","Central America and Caribbean","1960",15690973
"10",10,"Population, male","Central Asia","1960",16409087
"11",11,"Population, male","China","1960",342832540
"12",12,"Population, male","EU-12","1960",42596127
"13",13,"Population, male","EU-15","1960",152762876
"14",14,"Population, male","Europe_Eastern","1960",23657294
"15",15,"Population, male","Europe_Non_EU","1960",22501908
"16",16,"Population, male","European Free Trade Association","1960",4461979
"17",17,"Population, male","India","1960",230135579
"18",18,"Population, male","Indonesia","1960",44084045
"19",19,"Population, male","Japan","1960",45781584
"20",20,"Population, male","Mexico","1960",18239142
"21",21,"Population, male","Middle East","1960",24768127
"22",22,"Population, male","Pakistan","1960",24795178
"23",23,"Population, male","Russia","1960",53715149
"24",24,"Population, male","South Africa","1960",8502461
"25",25,"Population, male","South America_Northern","1960",4538067
"26",26,"Population, male","South America_Southern","1960",15546726
"27",27,"Population, male","South Asia","1960",41057833
"28",28,"Population, male","South Korea","1960",12523036
"29",29,"Population, male","Southeast Asia","1960",70553051
"30",30,"Population, total","Taiwan","1960",0
"31",31,"Population, male","Argentina","1960",10191482
"32",32,"Population, male","Colombia","1960",7811878
"33",1,"Population, male","USA","1961",92147184
"34",2,"Population, male","Africa_Eastern","1961",32737850
"35",3,"Population, male","Africa_Northern","1961",28775009
"36",4,"Population, male","Africa_Southern","1961",17580978
"37",5,"Population, male","Africa_Western","1961",57005244
"38",6,"Population, male","Australia_NZ","1961",6510713
"39",7,"Population, male","Brazil","1961",37763189
"40",8,"Population, male","Canada","1961",9230191
"41",9,"Population, male","Central America and Caribbean","1961",16088627
"42",10,"Population, male","Central Asia","1961",16989714
"43",11,"Population, male","China","1961",339171127
"44",12,"Population, male","EU-12","1961",43023630
"45",13,"Population, male","EU-15","1961",154082120
"46",14,"Population, male","Europe_Eastern","1961",24037696
"47",15,"Population, male","Europe_Non_EU","1961",22992048
"48",16,"Population, male","European Free Trade Association","1961",4531888
"49",17,"Population, male","India","1961",235560577
"50",18,"Population, male","Indonesia","1961",45311709
"51",19,"Population, male","Japan","1961",46199936
"52",20,"Population, male","Mexico","1961",18822518
"53",21,"Population, male","Middle East","1961",25481339
"54",22,"Population, male","Pakistan","1961",25363721
"55",23,"Population, male","Russia","1961",54464628
"56",24,"Population, male","South Africa","1961",8725719
"57",25,"Population, male","South America_Northern","1961",4698606
"58",26,"Population, male","South America_Southern","1961",15929090
"59",27,"Population, male","South Asia","1961",42117578
"60",28,"Population, male","South Korea","1961",12910139
"61",29,"Population, male","Southeast Asia","1961",72487363
"62",30,"Population, total","Taiwan","1961",0
"63",31,"Population, male","Argentina","1961",10345584
"64",32,"Population, male","Colombia","1961",8061302
"65",1,"Population, male","USA","1962",93472062
"66",2,"Population, male","Africa_Eastern","1962",33644131
"67",3,"Population, male","Africa_Northern","1962",29468826
"68",4,"Population, male","Africa_Southern","1962",18037130
"69",5,"Population, male","Africa_Western","1962",58266704
"70",6,"Population, male","Australia_NZ","1962",6667068
"71",7,"Population, male","Brazil","1962",38880853
"72",8,"Population, male","Canada","1962",9390542
"73",9,"Population, male","Central America and Caribbean","1962",16494168
"74",10,"Population, male","Central Asia","1962",17569891
"75",11,"Population, male","China","1962",341820347
"76",12,"Population, male","EU-12","1962",43420789
"77",13,"Population, male","EU-15","1962",155492162
"78",14,"Population, male","Europe_Eastern","1962",24401533
"79",15,"Population, male","Europe_Non_EU","1962",23496419
"80",16,"Population, male","European Free Trade Association","1962",4619687
"81",17,"Population, male","India","1962",241125862
"82",18,"Population, male","Indonesia","1962",46589573
"83",19,"Population, male","Japan","1962",46638689
"84",20,"Population, male","Mexico","1962",19442648
"85",21,"Population, male","Middle East","1962",26263716
"86",22,"Population, male","Pakistan","1962",25930189
"87",23,"Population, male","Russia","1962",55213503
"88",24,"Population, male","South Africa","1962",8971110
"89",25,"Population, male","South America_Northern","1962",4861767
"90",26,"Population, male","South America_Southern","1962",16320125
"91",27,"Population, male","South Asia","1962",43239445
"92",28,"Population, male","South Korea","1962",13302628
"93",29,"Population, male","Southeast Asia","1962",74443461
"94",30,"Population, total","Taiwan","1962",0
"95",31,"Population, male","Argentina","1962",10506660
"96",32,"Population, male","Colombia","1962",8318055
"97",1,"Population, male","USA","1963",94732963
"98",2,"Population, male","Africa_Eastern","1963",34575937
"99",3,"Population, male","Africa_Northern","1963",30187606
"100",4,"Population, male","Africa_Southern","1963",18507607
"101",5,"Population, male","Africa_Western","1963",59591461
"102",6,"Population, male","Australia_NZ","1963",6790993
"103",7,"Population, male","Brazil","1963",40022356
"104",8,"Population, male","Canada","1963",9554327
"105",9,"Population, male","Central America and Caribbean","1963",16908039
"106",10,"Population, male","Central Asia","1963",18155541
"107",11,"Population, male","China","1963",350180671
"108",12,"Population, male","EU-12","1963",43841267
"109",13,"Population, male","EU-15","1963",156901285
"110",14,"Population, male","Europe_Eastern","1963",24748329
"111",15,"Population, male","Europe_Non_EU","1963",24003663
"112",16,"Population, male","European Free Trade Association","1963",4697430
"113",17,"Population, male","India","1963",246813291
"114",18,"Population, male","Indonesia","1963",47913104
"115",19,"Population, male","Japan","1963",47121412
"116",20,"Population, male","Mexico","1963",20090731
"117",21,"Population, male","Middle East","1963",27080952
"118",22,"Population, male","Pakistan","1963",26526519
"119",23,"Population, male","Russia","1963",55965087
"120",24,"Population, male","South Africa","1963",9228327
"121",25,"Population, male","South America_Northern","1963",5027644
"122",26,"Population, male","South America_Southern","1963",16716676
"123",27,"Population, male","South Asia","1963",44404869
"124",28,"Population, male","South Korea","1963",13697823
"125",29,"Population, male","Southeast Asia","1963",76487453
"126",30,"Population, total","Taiwan","1963",0
"127",31,"Population, male","Argentina","1963",10669192
"128",32,"Population, male","Colombia","1963",8580512
"129",1,"Population, male","USA","1964",95961542
"130",2,"Population, male","Africa_Eastern","1964",35565868
"131",3,"Population, male","Africa_Northern","1964",30930151
"132",4,"Population, male","Africa_Southern","1964",18991670
"133",5,"Population, male","Africa_Western","1964",60957275
"134",6,"Population, male","Australia_NZ","1964",6923676
"135",7,"Population, male","Brazil","1964",41178982
"136",8,"Population, male","Canada","1964",9724573
"137",9,"Population, male","Central America and Caribbean","1964",17331300
"138",10,"Population, male","Central Asia","1964",18750158
"139",11,"Population, male","China","1964",358259811
"140",12,"Population, male","EU-12","1964",44281676
"141",13,"Population, male","EU-15","1964",158303140
