"","GCAM_region_ID","region","year","value_Total","value_F","value_M","sum_F_M","diff"
"1",1,"USA","1960",183061500,92335336,90726164,183061500,0
"2",1,"USA","1961",186125022,93977837,92147184,186125021,1
"3",1,"USA","1962",189023322,95551259,93472062,189023321,1
"4",1,"USA","1963",191786330,97053367,94732963,191786330,0
"5",1,"USA","1964",194483866,98522326,95961542,194483868,-2
"6",1,"USA","1965",196940500,99920040,97020460,196940500,0
"7",1,"USA","1966",199231195,101314527,97916670,199231197,-2
"8",1,"USA","1967",201406774,102673908,98732866,201406774,0
"9",1,"USA","1968",203423764,103884406,99539360,203423766,-2
"10",1,"USA","1969",205421450,104981775,100439676,205421451,-1
"11",1,"USA","1970",207833476,106201265,101632210,207833475,1
"12",1,"USA","1971",210494127,107512732,102981395,210494127,0
"13",1,"USA","1972",212789575,108662820,104126756,212789576,-1
"14",1,"USA","1973",214871907,109744262,105127647,214871909,-2
"15",1,"USA","1974",216883240,110814491,106068748,216883239,1
"16",1,"USA","1975",219061484,111978549,107082935,219061484,0
"17",1,"USA","1976",221175020,113112124,108062896,221175020,0
"18",1,"USA","1977",223420893,114317584,109103310,223420894,-1
"19",1,"USA","1978",225810350,115602450,110207898,225810348,2
"20",1,"USA","1979",228319271,116934223,111385046,228319269,2
"21",1,"USA","1980",230530636,118091979,112438657,230530636,0
"22",1,"USA","1981",232808405,119261161,113547245,232808406,-1
"23",1,"USA","1982",235041521,120388819,114652704,235041523,-2
"24",1,"USA","1983",237203486,121463955,115739531,237203486,0
"25",1,"USA","1984",239269790,122478201,116791588,239269789,1
"26",1,"USA","1985",241401760,123519960,117881801,241401761,-1
"27",1,"USA","1986",243643396,124612223,119031172,243643395,1
"28",1,"USA","1987",245831751,125682339,120149412,245831751,0
"29",1,"USA","1988",248073850,126778469,121295381,248073850,0
"30",1,"USA","1989",250425691,127916009,122509682,250425691,0
"31",1,"USA","1990",253263963,129295455,123968508,253263963,0
"32",1,"USA","1991",256647917,130946888,125701029,256647917,0
"33",1,"USA","1992",260204888,132681562,127523325,260204887,1
"34",1,"USA","1993",263641075,134368686,129272388,263641074,1
"35",1,"USA","1994",266882555,135964042,130918512,266882554,1
"36",1,"USA","1995",270068921,137526519,132542401,270068920,1
"37",1,"USA","1996",273226750,139073983,134152768,273226751,-1
"38",1,"USA","1997",276524787,140690589,135834199,276524788,-1
"39",1,"USA","1998",279743638,142251905,137491732,279743637,1
"40",1,"USA","1999",282948680,143783983,139164697,282948680,0
"41",1,"USA","2000",286081658,145284419,140797238,286081657,1
"42",1,"USA","2001",288896278,146663452,142232826,288896278,0
"43",1,"USA","2002",291557403,148013679,143543725,291557404,-1
"44",1,"USA","2003",294042533,149285085,144757450,294042535,-2
