variable,unit,mder,std,min,max
Population|Male|Aged0-4,kcal/day,1108.333333,0,1108.333333,1108.333333
Population|Male|Aged5-9,kcal/day,1677.5,239.6322414,1350,2100
Population|Male|Aged10-14,kcal/day,2454.166667,377.33072,1825,3175
Population|Male|Aged15-19,kcal/day,3302.777778,416.4073267,2700,3925
Population|Male|Aged20-24,kcal/day,3187.037037,449.4585983,2527.777778,3844.444444
Population|Male|Aged25-29,kcal/day,3187.037037,449.4585983,2527.777778,3844.444444
Population|Male|Aged30-34,kcal/day,3061.111111,428.3665981,2433.333333,3688.888889
Population|Male|Aged35-39,kcal/day,3061.111111,428.3665981,2433.333333,3688.888889
Population|Male|Aged40-44,kcal/day,3061.111111,428.3665981,2433.333333,3688.888889
Population|Male|Aged45-49,kcal/day,3061.111111,428.3665981,2433.333333,3688.888889
Population|Male|Aged50-54,kcal/day,3061.111111,428.3665981,2433.333333,3688.888889
Population|Male|Aged55-59,kcal/day,3061.111111,428.3665981,2433.333333,3688.888889
Population|Male|Aged60-64,kcal/day,2568.518519,361.134852,2044.444444,3100
Population|Male|Aged65-69,kcal/day,2568.518519,361.134852,2044.444444,3100
Population|Male|Aged70-74,kcal/day,2568.518519,361.134852,2044.444444,3100
Population|Male|Aged75-79,kcal/day,2568.518519,361.134852,2044.444444,3100
Population|Male|Aged80-84,kcal/day,2568.518519,361.134852,2044.444444,3100
Population|Male|Aged85-89,kcal/day,2568.518519,361.134852,2044.444444,3100
Population|Male|Aged90-94,kcal/day,2568.518519,361.134852,2044.444444,3100
Population|Male|Aged95-99,kcal/day,2568.518519,361.134852,2044.444444,3100
Population|Male|Aged100+,kcal/day,2568.518519,361.134852,2044.444444,3100
Population|Female|Aged0-4,kcal/day,1016.666667,0,1016.666667,1016.666667
Population|Female|Aged5-9,kcal/day,1537.5,217.7297637,1225,1950
Population|Female|Aged10-14,kcal/day,2200,305.1638904,1700,2725
Population|Female|Aged15-19,kcal/day,2500,306.1862178,2125,2875
Population|Female|Aged20-24,kcal/day,2646.296296,371.9411137,2100,3194.444444
Population|Female|Aged25-29,kcal/day,2646.296296,371.9411137,2100,3194.444444
Population|Female|Aged30-34,kcal/day,2507.407407,352.4118351,1988.888889,3022.222222
Population|Female|Aged35-39,kcal/day,2507.407407,352.4118351,1988.888889,3022.222222
Population|Female|Aged40-44,kcal/day,2507.407407,352.4118351,1988.888889,3022.222222
Population|Female|Aged45-49,kcal/day,2507.407407,352.4118351,1988.888889,3022.222222
Population|Female|Aged50-54,kcal/day,2507.407407,352.4118351,1988.888889,3022.222222
Population|Female|Aged55-59,kcal/day,2507.407407,352.4118351,1988.888889,3022.222222
Population|Female|Aged60-64,kcal/day,2279.62963,320.4238876,1811.111111,2750
Population|Female|Aged65-69,kcal/day,2279.62963,320.4238876,1811.111111,2750
Population|Female|Aged70-74,kcal/day,2279.62963,320.4238876,1811.111111,2750
Population|Female|Aged75-79,kcal/day,2279.62963,320.4238876,1811.111111,2750
Population|Female|Aged80-84,kcal/day,2279.62963,320.4238876,1811.111111,2750
Population|Female|Aged85-89,kcal/day,2279.62963,320.4238876,1811.111111,2750
Population|Female|Aged90-94,kcal/day,2279.62963,320.4238876,1811.111111,2750
Population|Female|Aged95-99,kcal/day,2279.62963,320.4238876,1811.111111,2750
Population|Female|Aged100+,kcal/day,2279.62963,320.4238876,1811.111111,2750
