Main food description,GCAM,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Water
(g)"
"Beef, steak, chuck",Beef,225,25.97,0.21,0,0,13.43,5.647,6.755,0.784,92,7,7,0,0,0,0,0,0.088,0.241,3.563,0.41,0,6,6,6,89.3,3.65,0,0,0.1,0.08,0,1.6,13,200,23,3.23,9.77,0.107,29.7,308,380,0,0,0,0,0,0,0,0,0.375,3.06,2.019,0.443,6.084,0.026,0,0.668,0.025,0,0.087,0.002,0.001,0,58.61
"Beef, steak, cube",Beef,187,28.83,0,0,0,7.1,2.127,3.178,1.516,83,5,5,0,0,0,0,0,0.085,0.314,8.598,0.845,0,5,5,5,86.4,2.19,0,0,0,0.79,0,4.6,18,294,16,3.12,4.93,0.064,29.5,417,379,0,0,0,0,0,0,0.006,0.004,0.104,1.276,0.643,0.151,2.935,0.029,0,1.285,0.146,0,0.047,0.003,0.013,0.001,62.24
"Beef, steak, flank",Beef,243,29.13,0,0,0,14.09,5.017,6.228,0.611,91,7,7,0,0,0,0,0,0.082,0.345,6.288,0.479,0,7,7,7,59.8,2.89,0,0,0.1,0.1,0,1.6,7,167,23,2.42,8,0.107,33,296,370,0,0,0,0,0,0,0.008,0.007,0.342,2.845,1.593,0.505,5.436,0.015,0,0.497,0.011,0,0.066,0,0.015,0,55.63
"Beef, steak, ribeye, lean and fat eaten",Beef,289,23.5,0,0,0,21.64,9.607,10.436,1.019,79,8,8,0,0,0,0,0,0.07,0.285,4.869,0.473,0,6,6,6,48.4,2.08,0,0,0.2,0.1,0,1.6,11,151,22,2.22,5.86,0.079,29.5,258,361,0,0,0,0,0,0,0.016,0.017,0.64,5.068,3.408,0.698,9.332,0.046,0,0.882,0.038,0,0.056,0.001,0.014,0.001,54.06
"Beef, steak, ribeye, lean only eaten",Beef,230,26.47,0,0,0,13.83,5.799,6.51,0.686,79,4,4,0,0,0,0,0,0.077,0.31,5.488,0.529,0,7,7,7,54.1,2.24,0,0,0.1,0.1,0,1.6,9,168,24,2.42,6.62,0.086,33.6,283,364,0,0,0,0,0,0,0.008,0.01,0.379,3.139,1.984,0.435,5.8,0.023,0,0.568,0.023,0,0.058,0.001,0.014,0.001,58.83
"Beef, steak, round",Beef,166,29.72,0,0,0,4.25,1.774,2.04,0.328,85,5,5,0,0,0,0,0,0.087,0.323,8.864,0.871,0,5,5,5,89.1,2.26,0,0,0,0.32,0,1.4,18,303,17,3.21,5.08,0.065,30.5,430,382,0,0,0,0,0,0,0.006,0.004,0.106,1.012,0.573,0.145,1.822,0.009,0,0.235,0.007,0,0.049,0.003,0.013,0.001,64.17
"Beef, steak, sirloin, lean and fat eaten",Beef,262,26.23,0,0,0,16.65,6.556,6.938,0.616,87,0,0,0,0,0,0,0,0.07,0.126,6.981,0.549,0,8,8,8,99.9,1.55,0,0,0.3,0.46,0,1.6,19,202,22,1.68,4.71,0.078,28.3,325,361,0,0,0,0,0,0,0.042,0.038,0.506,3.958,2.012,0.627,6.287,0.024,0,0.431,0.148,0,0.038,0,0,0,56.04
"Beef, steak, sirloin, lean only eaten",Beef,216,28.05,0,0,0,11.32,4.352,4.845,0.535,82,1,1,0,0,0,0,0,0.064,0.191,7.178,0.664,0,7,7,7,77.2,1.82,0,0,0.2,0.29,0,1.6,15,220,23,2.3,4.68,0.075,27.7,305,361,0,0,0,0,0,0,0.019,0.017,0.308,2.563,1.349,0.389,4.355,0.018,0,0.412,0.053,0,0.048,0.002,0.008,0,59.55
"Beef, steak, strip, lean and fat eaten",Beef,262,26.23,0,0,0,16.65,6.556,6.938,0.616,87,0,0,0,0,0,0,0,0.07,0.126,6.981,0.549,0,8,8,8,99.9,1.55,0,0,0.3,0.46,0,1.6,19,202,22,1.68,4.71,0.078,28.3,325,361,0,0,0,0,0,0,0.042,0.038,0.506,3.958,2.012,0.627,6.287,0.024,0,0.431,0.148,0,0.038,0,0,0,56.04
"Beef, steak, strip, lean only eaten",Beef,216,28.05,0,0,0,11.32,4.352,4.845,0.535,82,1,1,0,0,0,0,0,0.064,0.191,7.178,0.664,0,7,7,7,77.2,1.82,0,0,0.2,0.29,0,1.6,15,220,23,2.3,4.68,0.075,27.7,305,361,0,0,0,0,0,0,0.019,0.017,0.308,2.563,1.349,0.389,4.355,0.018,0,0.412,0.053,0,0.048,0.002,0.008,0,59.55
"Beef, steak, T-bone,  lean and fat eaten",Beef,274,25.2,0,0,0,18.42,7.422,8.221,0.815,82,7,7,0,0,0,0,0,0.057,0.23,5.479,0.618,0,4,4,4,88.8,2.01,0,0,0.1,0.24,0,1.6,19,206,20,2.98,4.1,0.064,24.9,255,371,0,0,0,0,0,0,0.012,0.014,0.516,4.085,2.485,0.613,7.285,0.043,0,0.697,0.032,0,0.046,0.002,0.012,0.001,55.16
"Beef, steak, T-bone, lean only eaten",Beef,230,27.12,0,0,0,12.69,5.022,5.602,0.601,82,7,7,0,0,0,0,0,0.058,0.25,5.833,0.666,0,6,6,6,72.4,2.1,0,0,0.1,0.24,0,1.5,19,217,22,3.13,4.47,0.07,27.1,279,373,0,0,0,0,0,0,0.009,0.01,0.34,2.81,1.645,0.408,4.981,0.027,0,0.497,0.021,0,0.047,0.002,0.011,0.001,58.95
"Beef, steak, tenderloin",Beef,196,30.46,0,0,0,8.25,3.27,3.698,0.588,92,2,2,0,0,0,0,0,0.07,0.438,6.186,0.759,0,7,7,7,73.2,4.53,0,0,0.1,0.28,0,1.4,15,283,20,3.56,4.64,0.101,27.8,387,366,0,0,0,0,0,0,0.009,0.006,0.218,1.851,1.046,0.284,3.247,0.014,0,0.458,0.019,0,0.07,0.004,0.013,0.001,60.28
"Beef, steak, country fried",Beef,306,19.9,7.94,0.13,0.3,21.05,5.936,8.58,4.117,66,2,2,0,0,0,0,7,0.148,0.139,5.648,0.398,13,9,31,22,75.5,1.11,0,0,0.2,1.78,0,11,23,159,19,1.8,3.44,0.074,22.2,247,432,0,0,0,0,0,0,0.03,0.027,0.364,3.738,1.705,0.478,8.017,0.079,0,3.554,0.528,0,0.027,0,0,0,49.78
"Beef, shortribs",Beef,253,18.2,12.13,9.89,0.3,14.1,5.495,5.826,0.559,67,0,3,0,40,1,1354,26,0.055,0.103,4.956,0.398,0,6,6,6,70.5,1.06,0,0.2,0.2,0.58,0,1.8,23,146,19,1.34,3.29,0.076,19.8,293,650,0,0,0,0.001,0,0,0.035,0.032,0.424,3.317,1.685,0.524,5.271,0.024,0.007,0.384,0.13,0,0.032,0.002,0.011,0.001,53.54
"Beef, roast",Beef,206,29.08,0,0,0,9.72,3.799,4.479,0.484,89,4,4,0,0,0,0,0,0.073,0.258,5.791,0.54,0,6,6,6,84.3,2.59,0,0,0,0.18,0,1.7,15,228,18,2.89,7.33,0.076,30,332,372,0,0,0,0,0,0,0.002,0.001,0.247,2.111,1.306,0.295,4.029,0.022,0,0.393,0.017,0,0.052,0.002,0.007,0.001,59.59
"Beef, pot roast",Beef,251,28.39,0,0,0,15.35,6.083,7.215,0.683,101,5,5,0,0,0,0,0,0.067,0.228,3.691,0.304,0,7,7,7,89.4,3.18,0,0,0.1,0.08,0,1.6,14,188,20,2.91,10.15,0.093,32.9,282,370,0,0,0,0,0,0,0,0,0.404,3.357,2.122,0.467,6.5,0.037,0,0.583,0.028,0,0.061,0.003,0.002,0.001,54.93
"Beef, stew meat",Beef,251,28.39,0,0,0,15.35,6.083,7.215,0.683,101,5,5,0,0,0,0,0,0.067,0.228,3.691,0.304,0,7,7,7,89.4,3.18,0,0,0.1,0.08,0,1.6,14,188,20,2.91,10.15,0.093,32.9,282,370,0,0,0,0,0,0,0,0,0.404,3.357,2.122,0.467,6.5,0.037,0,0.583,0.028,0,0.061,0.003,0.002,0.001,54.93
"Beef, corned",Beef,251,18.17,0.47,0,0,18.98,6.34,9.22,0.67,98,0,0,0,0,0,0,0,0.026,0.17,3.03,0.23,0,6,6,6,69.2,1.63,0,0,0.1,0.16,0,1.5,8,125,12,1.86,4.58,0.154,32.8,145,973,0,0,0,0,0,0,0.04,0.02,0.5,3.69,1.74,1.44,7.78,0,0,0.54,0.13,0,0,0,0,0,59.79
"Beef, brisket",Beef,231,29.41,0,0,0,12.04,4.616,5.565,0.47,94,1,1,0,0,0,0,0,0.071,0.222,3.702,0.354,0,8,8,8,105.1,2.57,0,0,0.2,0.14,0,1.7,10,227,22,2.74,7,0.115,27.2,285,377,0,0,0,0,0,0,0.017,0.013,0.368,2.803,1.385,0.522,4.992,0.017,0,0.352,0.071,0,0.045,0.004,0.01,0.001,55.99
"Beef, sandwich steak",Beef,326,18.26,0,0,0,27.59,11.597,11.756,0.984,73,0,0,0,0,0,0,0,0.056,0.151,2.913,0.183,0,6,6,6,73.5,1.86,0,0,0.4,0.32,0,1.6,9,137,16,1.86,4.64,0.072,17.2,233,359,0,0,0,0,0,0,0.063,0.1,0.922,6.814,3.628,1.145,10.492,0.055,0,0.678,0.268,0,0.024,0.002,0.013,0.001,52.75
"Beef, ground",Beef,261,25.55,0,0,0,16.82,6.455,7.5,0.495,87,3,3,0,0,0,0,0,0.047,0.175,5.072,0.364,0,10,10,10,80.3,2.7,0,0,0,0.12,0,1.7,24,192,20,2.47,6.2,0.08,21.3,302,381,0,0,0,0,0,0,0,0.012,0.481,3.607,1.998,0.611,6.441,0.054,0,0.381,0.056,0,0.047,0,0.002,0,56.34
"Beef, ground, patty",Beef,272,25.45,0,0,0,18.18,6.95,8.194,0.514,87,3,3,0,0,0,0,0,0.048,0.175,4.919,0.356,0,10,10,10,79.4,2.75,0,0,0,0.12,0,1.9,27,190,20,2.41,6.17,0.077,21.3,294,383,0,0,0,0,0,0,0,0.013,0.526,3.901,2.103,0.669,6.993,0.06,0,0.4,0.057,0,0.048,0,0,0,55.2
"Beef, bacon, cooked",Beef,449,31.3,1.4,0,0,34.4,14.35,16.85,1.58,119,0,0,0,0,0,0,0,0.09,0.26,6.47,0.31,0,8,8,8,119.2,3.45,0,0,0.2,0.29,0,2.8,9,236,27,3.14,6.37,0.116,26.8,412,1500,0,0,0,0,0,0,0.13,0.1,1.22,7.66,4.48,2.27,14.58,0,0,1.25,0.33,0,0,0,0,0,26.2
"Veal, chop",Beef,158,29.51,0.07,0,0,4.4,1.728,2.061,0.255,77,0,0,0,0,0,0,0,0.069,0.327,7.877,0.686,0,7,7,7,148.8,2.87,0,0,0.8,0.38,0,1.3,13,212,33,0.78,1.82,0.123,25.9,237,391,0,0,0,0,0,0,0.002,0.004,0.106,0.967,0.589,0.139,1.859,0.002,0,0.211,0.007,0,0.037,0,0,0,64.14
"Veal, ground",Beef,213,25.62,1.5,0,0,11.69,4.333,5.62,0.778,76,0,0,0,0,0,0,0,0.094,0.427,7.837,0.504,0,6,6,6,118.7,3.5,0,0,1.4,0.26,0,1.5,18,229,34,1.49,2.93,0.115,18.4,243,452,0,0,0,0,0,0,0.009,0.01,0.264,2.497,1.407,0.433,5.005,0,0,0.632,0.017,0,0.129,0,0,0,59.4
"Corn flour, whole grain, yellow",Corn,361,6.93,76.8,0.64,7.3,3.86,0.543,1.02,1.76,0,0,11,63,97,0,0,1360,0.246,0.08,1.9,0.37,0,25,25,25,21.6,0,0,0,0,0.42,0,0.3,7,272,93,2.38,1.73,0.23,15.4,315,5,0,0,0,0,0,0,0,0,0,0.463,0.061,0.003,1.02,0,0,1.71,0.053,0,0,0,0,0,10.9
"Milk, whole",Dairy,61,3.27,4.63,4.81,0,3.2,1.86,0.688,0.108,12,31,32,0,7,0,0,0,0.056,0.138,0.105,0.061,0,0,0,0,17.8,0.54,0,0,1.1,0.05,0,0.3,123,101,12,0,0.42,0.001,1.9,150,38,0,0,0,0.067,0.054,0.034,0.084,0.097,0.303,0.857,0.309,0.047,0.694,0.004,0,0.115,0.013,0,0.004,0.001,0.002,0,88.1
"Milk, reduced fat (2%)",Dairy,50,3.36,4.9,4.89,0,1.9,1.11,0.4,0.058,8,83,83,0,3,0,0,0,0.059,0.137,0.112,0.061,0,2,2,2,18.2,0.55,0,0.2,1.1,0.03,0,0.2,126,103,12,0,0.43,0.001,1.8,159,39,0,0,0,0.041,0.032,0.021,0.049,0.058,0.181,0.512,0.184,0.029,0.41,0.002,0,0.061,0.007,0,0.003,0,0.001,0,89.1
"Milk, low fat (1%)",Dairy,43,3.38,5.18,4.96,0,0.95,0.568,0.21,0.032,5,58,58,0,1,0,0,0,0.057,0.14,0.113,0.06,0,2,2,2,17.4,0.61,0,0,1.1,0.02,0,0.1,126,103,12,0,0.43,0.001,2.1,159,39,0,0,0,0.022,0.015,0.011,0.023,0.026,0.093,0.265,0.096,0.014,0.214,0.001,0,0.033,0.004,0,0.001,0,0,0,89.7
