# File:SSP_database_v9.csv,,,,,,,,,,,,,,,,,,,,,,,,
MODEL,SCENARIO,iso,REGION,VARIABLE,UNIT,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population,million,0.107488,0.117911977,0.12525343,0.131958015,0.137986092,0.143246529,0.147959963,0.152063559,0.155624226,0.158801226,0.161699489,0.163725514,0.164751506,0.16471887,0.163600306,0.161487688,0.158546722,0.154914234,0.150696113
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Female,million,0.056501,0.062988155,0.067327652,0.071311712,0.074921404,0.078124452,0.081025041,0.083569543,0.085766374,0.087679348,0.089373286,0.090499288,0.09100984,0.09087743,0.090083444,0.088681066,0.086767898,0.084438587,0.08176207
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Female|Aged0-4,million,0.00304,0.003165874,0.003582048,0.003553603,0.003459398,0.003291509,0.003255069,0.003253558,0.003262851,0.003272645,0.003240963,0.003173294,0.003075298,0.002974446,0.002876882,0.002775641,0.002660961,0.002531762,0.002395665
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Female|Aged10-14,million,0.003883,0.003409765,0.003400642,0.003395344,0.003710694,0.003664738,0.003565139,0.003420245,0.003385906,0.003374196,0.003362046,0.003344651,0.003294349,0.003210273,0.003099602,0.002988743,0.00288389,0.002777673,0.002659679
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Female|Aged100+,million,2.00E-06,3.17E-06,4.33E-06,4.76E-06,8.24E-06,1.72E-05,2.94E-05,4.40E-05,7.85E-05,1.40E-04,2.42E-04,3.65E-04,4.61E-04,5.68E-04,7.10E-04,0.001041294,0.001444031,0.001798105,0.002149256
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Female|Aged15-19,million,0.00412,0.003911931,0.003448997,0.003450207,0.003446184,0.003746053,0.00369881,0.003599645,0.003459483,0.003425812,0.003412442,0.003393581,0.003370073,0.003314181,0.003224809,0.003109513,0.002994656,0.002886443,0.0027774
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Female|Aged20-24,million,0.003597,0.004043208,0.00386581,0.003436438,0.003447976,0.003446307,0.003726271,0.003678783,0.003581775,0.003448359,0.003415326,0.003400119,0.003380832,0.003357747,0.003303194,0.003215601,0.00310276,0.002990803,0.002885911
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Female|Aged25-29,million,0.003281,0.004865614,0.004671458,0.004491905,0.004135493,0.004194242,0.004201426,0.00444002,0.00438039,0.004272571,0.004142822,0.003994533,0.00387711,0.003764591,0.003654287,0.003516441,0.003349553,0.00316489,0.002989592
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Female|Aged30-34,million,0.003345,0.005075367,0.005770398,0.00557555,0.005380614,0.005090949,0.005201282,0.005213166,0.005422192,0.005351189,0.005229208,0.004945329,0.004646898,0.004397337,0.004164615,0.003942797,0.003699535,0.003434869,0.00316342
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Female|Aged35-39,million,0.004315,0.004288434,0.005487041,0.006137633,0.005952741,0.005755911,0.00552441,0.005665939,0.005681516,0.00586546,0.005791374,0.005608162,0.005252188,0.004884757,0.004575617,0.004290315,0.004021163,0.003735091,0.003433136
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Female|Aged40-44,million,0.004855,0.004631669,0.004513215,0.005649448,0.006268824,0.006095495,0.005902691,0.005708948,0.005868047,0.005887582,0.006056636,0.0059606,0.005751544,0.005365404,0.004968697,0.004633938,0.004325964,0.004036568,0.003732934
IIASA-WiC POP,SSP2_v9_130115,abw,ABW,Population|Female|Aged45-49,million,0.005426,0.005021468,0.004758275,0.004668198,0.005780594,0.006391302,0.006227355,0.006039284,0.005865902,0.006036599,0.006059908,0.006213146,0.006095106,0.005861432,0.00544793,0.005025419,0.004668124,0.004340333,0.00403375
