region,noR_share
Africa_Eastern,22.34921847
Africa_Northern,36.45763414
Africa_Southern,53.24119528
Africa_Western,54.20100113
Argentina,38.23974149
Australia_NZ,40.60751367
Brazil,47.38971802
Canada,53.89427485
Central America and Caribbean,55.25434803
Central Asia,18.29859443
China,85.59500327
Colombia,45.49821821
EU-12,56.85358037
EU-15,48.18761495
Europe_Eastern,50.21854308
Europe_Non_EU,27.86906371
European Free Trade Association,46.06297543
India,13.63225187
Indonesia,79.9556113
Japan,68.45083126
Mexico,63.16831603
Middle East,44.82495131
Pakistan,10.94821545
Russia,49.83572427
South Africa,50.57259407
South America_Northern,48.19375335
South America_Southern,56.28696292
South Asia,41.79055274
South Korea,76.40025625
Southeast Asia,85.7108445
Taiwan,83.18924523
USA,43.87646548
